,missing_glove,missing_cn,missing_wn
tao,1,1,0
cel,1,1,1
mds,1,1,0
ouf,1,1,1
elle,1,1,1
account,1,1,0
yasmin,1,0,1
deactivated,1,0,0
bebe,1,1,1
lieve,1,1,1
sangat,1,1,1
scan,1,1,0
cada,1,1,1
asap,1,1,0
cite,1,1,0
knockedout,1,1,1
safee,1,1,1
magoo,1,1,1
denise,1,1,1
cho,1,1,1
dalla,1,1,1
k.,1,1,1
binnen,1,1,1
brubs,1,1,1
pandas,1,0,0
vraiment,1,1,1
pensando,1,1,1
ashton,1,1,0
lipring,1,1,1
rindu,1,1,1
brody,1,1,1
jeremih,1,1,1
edward,1,1,0
member,1,1,0
diaries,1,1,0
jean,1,1,0
rita,1,1,1
azealia,1,1,1
voix,1,1,1
smackedd,1,1,1
highend,1,1,1
cerca,1,1,1
ivory,1,1,0
rupanya,1,1,1
khaled,1,1,1
facil,1,1,1
payphone,1,1,1
pinterest,1,1,1
content,1,1,0
ads,1,1,0
igual,1,1,1
kyza,1,1,1
monae,1,1,1
kami,1,1,0
delicias,1,1,1
aunt,1,1,0
fila,1,1,0
nadia,1,1,1
grandad,1,1,0
craving,1,1,0
gaz,1,1,1
pretzels,1,1,0
oreos,1,1,0
coup,1,1,0
half,1,1,0
santonio,1,1,1
italics,1,1,0
asking,1,1,0
tard,1,1,1
gangstalicious,1,1,1
reprimanded,1,1,0
puma,1,1,0
cristian,1,1,1
nino,1,1,1
dede,1,1,1
cuties,1,0,1
kross,1,1,1
retweet,1,1,1
gallery,1,1,0
amari,1,1,1
siani,1,1,1
batteries,1,0,0
sleeppyy,1,1,1
boutique,1,1,0
snor,1,1,1
vacances,1,1,1
lista,1,1,1
ferry,1,1,0
mazo,1,1,1
sheeran,1,1,1
psy,1,1,1
withdrawal,1,1,0
arie,1,1,1
semi,1,1,0
farrah,1,1,1
hough,1,0,1
dasia,1,1,1
abstaining,1,1,0
barang,1,1,1
macaron,1,1,1
those,1,1,1
of,1,1,1
carey,1,1,1
click,1,1,0
satu,1,1,1
mierda,1,1,1
kookie,1,1,0
squishy,1,1,0
dropbox,1,1,1
adds,1,1,0
kait,1,1,1
kate,1,1,1
households,1,1,0
watery,1,0,0
reaaaal,1,1,1
cornflake,1,1,1
corey,1,1,1
harrison,1,1,0
sour,1,1,0
sebelum,1,1,1
treyvon,1,1,1
expelled,1,1,0
percocets,1,1,1
terlalu,1,1,1
eharmony,1,1,1
thi,1,1,1
tugga,1,1,1
milkshake,1,1,0
plural,1,0,0
senile,1,1,0
quoting,1,1,0
downloading,1,1,0
irrating,1,1,1
tenisha,1,1,1
lynn,1,1,1
winters,1,0,0
moo,1,1,0
readii,1,1,1
paranormal,1,1,0
dreadlocks,1,1,0
rich,1,1,0
richer,1,1,0
