,precision_wn,recall_wn,precision_cn,recall_cn,missing_from_cn,missing_from_wn
jeito,1.0,1.0,1.0,1.0,1,1
faz,1.0,1.0,1.0,1.0,1,1
downgrades,1.0,0.5,1.0,1.0,1,0
tireed,0.5,0.05263157894736842,0.5,1.0,1,0
aggervated,0.5,1.0,0.5,1.0,1,1
marie,1.0,1.0,1.0,1.0,1,1
telefon,1.0,1.0,1.0,1.0,1,1
viciado,1.0,1.0,1.0,1.0,1,1
funk,1.0,0.09090909090909091,1.0,1.0,1,0
stefan,1.0,1.0,1.0,1.0,1,1
estivesse,1.0,1.0,1.0,1.0,1,1
buysexual,1.0,1.0,1.0,1.0,1,1
blonde,1.0,0.3333333333333333,1.0,1.0,1,0
anti,1.0,1.0,1.0,1.0,1,1
especial,1.0,0.25,1.0,1.0,1,0
muslims,0.5,0.3333333333333333,0.5,1.0,1,0
muhammad,0.5,0.14285714285714285,0.5,1.0,1,0
llamada,1.0,1.0,1.0,1.0,1,1
freddie,1.0,1.0,1.0,1.0,1,1
messagen,1.0,1.0,1.0,1.0,1,1
ville,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1
suis,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1
boit,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1
juliette,1.0,1.0,1.0,1.0,1,1
onix,1.0,1.0,1.0,1.0,1,1
zap,1.0,0.14285714285714285,1.0,1.0,1,0
couples,1.0,0.043478260869565216,1.0,1.0,1,0
pene,1.0,1.0,1.0,1.0,1,1
beau,0.5,0.07692307692307693,0.5,1.0,1,0
robe,0.5,0.16666666666666666,0.5,1.0,1,0
bahan,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1
pendek,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1
seragam,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1
custo,1.0,1.0,1.0,1.0,1,1
audio,1.0,0.2,1.0,1.0,1,0
aired,1.0,0.07142857142857142,1.0,1.0,1,0
teri,1.0,1.0,1.0,1.0,1,1
d'banj,1.0,1.0,1.0,1.0,1,1
payn,1.0,1.0,1.0,1.0,1,1
llegan,1.0,1.0,1.0,1.0,1,1
eras,1.0,0.16666666666666666,1.0,1.0,1,0
bm,1.0,0.09090909090909091,1.0,1.0,1,0
johansson,1.0,1.0,1.0,1.0,1,1
mua,1.0,1.0,1.0,1.0,1,1
alien,1.0,0.07692307692307693,1.0,1.0,1,0
vce,1.0,1.0,1.0,1.0,1,1
depo,0.5,1.0,0.5,1.0,1,1
wireless,0.5,0.14285714285714285,0.5,1.0,1,0
lashes,1.0,0.07692307692307693,1.0,1.0,1,0
tlr,0.5,1.0,0.5,1.0,1,1
snt,0.5,1.0,0.5,1.0,1,1
by,1.0,0.25,1.0,1.0,1,0
mocha,1.0,0.5,1.0,1.0,1,0
airplanes,1.0,0.25,1.0,1.0,1,0
magenta,1.0,0.3333333333333333,1.0,1.0,1,0
een,1.0,1.0,1.0,1.0,1,1
ataque,1.0,1.0,1.0,1.0,1,1
tweeting,1.0,0.125,1.0,1.0,1,0
pancit,1.0,1.0,1.0,1.0,1,1
juicy,1.0,0.07692307692307693,1.0,1.0,1,0
connor,1.0,1.0,1.0,1.0,1,1
scooby,1.0,1.0,1.0,1.0,1,1
oomfs,1.0,1.0,1.0,1.0,1,1
descansa,1.0,1.0,1.0,1.0,1,1
disease,1.0,1.0,1.0,1.0,1,1
naruto,1.0,1.0,1.0,1.0,1,1
clone,1.0,0.2,1.0,1.0,1,0
dell,1.0,0.5,1.0,1.0,1,0
keezy,1.0,1.0,1.0,1.0,1,1
brooke,1.0,0.3333333333333333,1.0,1.0,1,0
angry,1.0,0.2,1.0,1.0,1,0
beggin,1.0,1.0,1.0,1.0,1,1
apetite,1.0,1.0,1.0,1.0,1,1
dored,1.0,1.0,1.0,1.0,1,1
yezzy,1.0,1.0,1.0,1.0,1,1
longs,1.0,0.25,1.0,1.0,1,0
strokin,1.0,1.0,1.0,1.0,1,1
bleached,1.0,0.05555555555555555,1.0,1.0,1,0
pg,1.0,1.0,1.0,1.0,1,1
having,1.0,0.03571428571428571,1.0,1.0,1,0
wendys,1.0,1.0,1.0,1.0,1,1
vale,1.0,0.5,1.0,1.0,1,0
educationn,1.0,1.0,1.0,1.0,1,1
breona,1.0,1.0,1.0,1.0,1,1
