,precision_wn,recall_wn,precision_cn,recall_cn,missing_from_cn,missing_from_wn
de,1.0,0.2,1.0,1.0,1,0
voicemails,1.0,0.3333333333333333,1.0,1.0,1,0
shah,1.0,0.3333333333333333,1.0,1.0,1,0
hyper,1.0,1.0,1.0,1.0,1,1
tel,1.0,1.0,1.0,1.0,1,1
coma,0.5,0.5,0.5,1.0,1,0
vaca,0.5,1.0,0.5,1.0,1,1
fanpage,1.0,1.0,1.0,1.0,1,1
payne,1.0,1.0,1.0,1.0,1,1
webcam,1.0,1.0,1.0,1.0,1,1
hanya,1.0,1.0,1.0,1.0,1,1
lori,1.0,1.0,1.0,1.0,1,1
jayden,1.0,1.0,1.0,1.0,1,1
teve,1.0,1.0,1.0,1.0,1,1
sleeepy,1.0,1.0,1.0,1.0,1,1
hospitalized,1.0,0.3333333333333333,1.0,1.0,1,0
sol,1.0,0.16666666666666666,1.0,1.0,1,0
comer,1.0,0.3333333333333333,1.0,1.0,1,0
charged,1.0,0.03225806451612903,1.0,1.0,1,0
batendo,1.0,1.0,1.0,1.0,1,1
voo,1.0,1.0,1.0,1.0,1,1
erased,1.0,0.125,1.0,1.0,1,0
jeno,1.0,1.0,1.0,1.0,1,1
annoying,1.0,0.034482758620689655,1.0,1.0,1,0
gettingg,1.0,1.0,1.0,1.0,1,1
ladron,1.0,1.0,1.0,1.0,1,1
caliente,1.0,1.0,1.0,1.0,1,1
distributor,1.0,0.25,1.0,1.0,1,0
porque,1.0,1.0,1.0,1.0,1,1
pasal,1.0,1.0,1.0,1.0,1,1
bug,1.0,0.07142857142857142,1.0,1.0,1,0
tored,1.0,1.0,1.0,1.0,1,1
kats,1.0,0.125,1.0,1.0,1,0
ooooi,1.0,1.0,1.0,1.0,1,1
posers,1.0,0.14285714285714285,1.0,1.0,1,0
intagram,1.0,1.0,1.0,1.0,1,1
sis,1.0,0.06666666666666667,1.0,1.0,1,0
killers,1.0,0.1111111111111111,1.0,1.0,1,0
notorious,1.0,0.3333333333333333,1.0,1.0,1,0
photoshoot,1.0,1.0,1.0,1.0,1,1
mcchickens,1.0,1.0,1.0,1.0,1,1
holmes,1.0,0.16666666666666666,1.0,1.0,1,0
devine,1.0,1.0,1.0,1.0,1,1
busty,1.0,0.09090909090909091,1.0,1.0,1,0
peux,1.0,1.0,1.0,1.0,1,1
contact,0.5,0.0625,0.5,1.0,1,0
customer,0.5,0.5,0.5,1.0,1,0
tomando,1.0,1.0,1.0,1.0,1,1
aussi,0.5,1.0,0.5,1.0,1,1
belles,0.5,0.3333333333333333,0.5,1.0,1,0
woozy,1.0,0.25,1.0,1.0,1,0
telkomsel,1.0,1.0,1.0,1.0,1,1
noor,1.0,1.0,1.0,1.0,1,1
cor,1.0,1.0,1.0,1.0,1,1
phat,1.0,1.0,1.0,1.0,1,1
br,0.5,0.14285714285714285,0.5,1.0,1,0
masi,0.5,1.0,0.5,1.0,1,1
bola,1.0,0.25,1.0,1.0,1,0
pussie,1.0,1.0,1.0,1.0,1,1
veronica,0.5,0.5,0.5,1.0,1,0
carmen,0.5,1.0,0.5,1.0,1,1
diseases,1.0,0.5,1.0,1.0,1,0
deathmatch,1.0,1.0,1.0,1.0,1,1
cassius,1.0,0.25,1.0,1.0,1,0
tgk,1.0,1.0,1.0,1.0,1,1
lava,1.0,1.0,1.0,1.0,1,1
nene,0.5,1.0,0.5,1.0,1,1
valentina,0.5,1.0,0.5,1.0,1,1
kimse,1.0,1.0,1.0,1.0,1,1
speck,1.0,0.07142857142857142,1.0,1.0,1,0
doernbecher,0.5,1.0,0.5,1.0,1,1
foamposite,0.5,1.0,0.5,1.0,1,1
ount,1.0,1.0,1.0,1.0,1,1
sonic,0.5,0.5,0.5,1.0,1,0
mini,0.5,0.5,0.5,1.0,1,0
shania,1.0,1.0,1.0,1.0,1,1
dahlia,1.0,0.5,1.0,1.0,1,0
flee,1.0,0.3333333333333333,1.0,1.0,1,0
itunes,1.0,1.0,1.0,1.0,1,1
aliyah,1.0,1.0,1.0,1.0,1,1
tre,0.5,1.0,0.5,1.0,1,1
dei,0.5,1.0,0.5,1.0,1,1
loui,1.0,1.0,1.0,1.0,1,1
car,1.0,0.09090909090909091,1.0,1.0,1,0
wil,1.0,1.0,1.0,1.0,1,1
bullied,1.0,0.1,1.0,1.0,1,0
textin,1.0,1.0,1.0,1.0,1,1
awwwwwwn,1.0,1.0,1.0,1.0,1,1
bangi,1.0,1.0,1.0,1.0,1,1
qet,1.0,1.0,1.0,1.0,1,1
over,1.0,0.14285714285714285,1.0,1.0,1,0
fuku,1.0,1.0,1.0,1.0,1,1
boomed,1.0,0.09090909090909091,1.0,1.0,1,0
dikenal,1.0,1.0,1.0,1.0,1,1
almond,1.0,0.2,1.0,1.0,1,0
milan,1.0,0.3333333333333333,1.0,1.0,1,0
outselling,1.0,0.5,1.0,1.0,1,0
steven,1.0,1.0,1.0,1.0,1,1
mcdoubles,1.0,1.0,1.0,1.0,1,1
geting,1.0,0.014084507042253521,1.0,1.0,1,0
zen,1.0,0.07142857142857142,1.0,1.0,1,0
rashawn,1.0,1.0,1.0,1.0,1,1
grindr,1.0,1.0,1.0,1.0,1,1
omf,1.0,1.0,1.0,1.0,1,1
aquamarine,1.0,0.16666666666666666,1.0,1.0,1,0
iain,1.0,1.0,1.0,1.0,1,1
vine,1.0,1.0,1.0,1.0,1,1
noah,1.0,0.5,1.0,1.0,1,0
babies,1.0,0.07142857142857142,1.0,1.0,1,0
derriere,1.0,0.03571428571428571,1.0,1.0,1,0
(,1.0,1.0,1.0,1.0,1,1
laterr,1.0,1.0,1.0,1.0,1,1
shea,1.0,1.0,1.0,1.0,1,1
futuro,1.0,1.0,1.0,1.0,1,1
depression,1.0,0.09090909090909091,1.0,1.0,1,0
patterns,1.0,0.058823529411764705,1.0,1.0,1,0
kisses,1.0,0.14285714285714285,1.0,1.0,1,0
caption,1.0,0.3333333333333333,1.0,1.0,1,0
vagina,1.0,1.0,1.0,1.0,1,1
cleann,1.0,1.0,1.0,1.0,1,1
forbes,0.5,1.0,0.5,1.0,1,1
founder,0.5,0.07142857142857142,0.5,1.0,1,0
ed,1.0,0.25,1.0,1.0,1,0
newlook,1.0,1.0,1.0,1.0,1,1
airmen,1.0,0.16666666666666666,1.0,1.0,1,0
succulent,1.0,0.5,1.0,1.0,1,0
kinda,1.0,0.25,1.0,1.0,1,0
bapak,1.0,1.0,1.0,1.0,1,1
cru,1.0,1.0,1.0,1.0,1,1
porq,1.0,1.0,1.0,1.0,1,1
sache,0.5,1.0,0.5,1.0,1,1
sait,0.5,1.0,0.5,1.0,1,1
zu,1.0,0.3333333333333333,1.0,1.0,1,0
basses,1.0,0.14285714285714285,1.0,1.0,1,0
kalau,1.0,1.0,1.0,1.0,1,1
delicioso,1.0,1.0,1.0,1.0,1,1
maxed,1.0,1.0,1.0,1.0,1,1
xd,1.0,1.0,1.0,1.0,1,1
joan,1.0,1.0,1.0,1.0,1,1
arron,1.0,1.0,1.0,1.0,1,1
word,1.0,0.038461538461538464,1.0,1.0,1,0
