vocab	precision	recall
wrinkled	0.07142857142857142	0.07142857142857142
pleasant	0.125	1.0
slit	0.1111111111111111	0.09090909090909091
linoleum	0.125	0.5
snail	0.1	0.5
relieved	0.0625	0.037037037037037035
misinterpreted	0.0	0.0
model	0.024390243902439025	0.04
corpse	0.25	0.2
gardening	0.2	0.3333333333333333
primitive	0.030303030303030304	0.16666666666666666
huddled	0.043478260869565216	0.25
joyous	0.125	1.0
invariably	0.03333333333333333	0.3333333333333333
serves	0.0	0.0
asking	0.005252100840336135	0.35714285714285715
prevail	0.1111111111111111	0.08333333333333333
brownish	0.1	0.25
shadows	0.04878048780487805	0.11764705882352941
firm	0.0136986301369863	0.047619047619047616
alternately	1.0	1.0
brick	0.012195121951219513	1.0
abuses	0.0	0.0
aboard	0.06666666666666667	0.25
sell	0.01818181818181818	0.25
sigh	0.0010504201680672268	0.3333333333333333
loveliness	0.02631578947368421	0.25
perch	0.2	0.14285714285714285
lovely	0.0010504201680672268	0.2
echo	0.047619047619047616	0.1
singular	0.5	0.09090909090909091
visitor	0.25	0.5
troops	0.05263157894736842	0.1111111111111111
plainly	0.011494252873563218	0.125
grinning	0.02702702702702703	0.25
kindly	0.14285714285714285	0.14285714285714285
port	0.3333333333333333	0.16666666666666666
grounds	0.1111111111111111	0.034482758620689655
inmates	0.0	0.0
rags	0.0	0.0
activity	0.041666666666666664	0.125
shyly	0.02702702702702703	0.3333333333333333
separation	0.25	0.2
pointing	0.0	0.0
chocolate	0.018867924528301886	0.25
sheltered	0.07142857142857142	0.5
slapped	0.0	0.0
sitting	0.017543859649122806	0.07142857142857142
lemons	0.0	0.0
foliage	0.5	0.25
sovereign	0.2	0.14285714285714285
rugs	0.0	0.0
uncle	0.030303030303030304	1.0
bitters	0.5	0.3333333333333333
confusion	0.07692307692307693	0.14285714285714285
smoothed	0.011494252873563218	0.14285714285714285
signpost	0.03333333333333333	0.5
almost	0.004201680672268907	0.5
bearded	0.2	0.16666666666666666
outer	0.05	0.07692307692307693
crazed	0.2	0.2
chewed	0.0	0.0
moisture	0.25	0.5
stumbled	0.0	0.0
gathering	0.02040816326530612	0.05
cheeks	0.012195121951219513	0.125
nothings	0.2	0.06666666666666667
imported	0.1	0.3333333333333333
longing	0.14285714285714285	0.3333333333333333
aloud	0.3333333333333333	0.25
have	0.009453781512605041	0.3103448275862069
deference	0.02631578947368421	0.14285714285714285
irritated	0.125	0.08333333333333333
beach	0.01694915254237288	1.0
wakes	0.0	0.0
ashen	0.06666666666666667	0.2
intellectual	0.05	0.2
blackened	1.0	0.1111111111111111
personal	0.045454545454545456	1.0
revellers	0.0	0.0
responsible	0.025	0.3333333333333333
ears	0.012195121951219513	0.2
clips	0.0	0.0
respect	0.25	0.07692307692307693
boundary	0.1111111111111111	0.2
stuck	0.017543859649122806	0.029411764705882353
ominous	0.1	0.1
hawk	0.1	0.1111111111111111
horse	0.047619047619047616	0.1111111111111111
myrrh	0.5	0.3333333333333333
defiance	0.25	0.5
yellowing	0.0	0.0
special	0.02040816326530612	0.14285714285714285
lamb	0.5	0.2
sins	0.0	0.0
mean	0.0021008403361344537	0.10526315789473684
became	0.004201680672268907	0.8
colony	0.09090909090909091	0.25
sprawling	0.030303030303030304	0.16666666666666666
absolutely	0.0021008403361344537	0.5
goose	0.009433962264150943	0.1111111111111111
abandoned	0.13333333333333333	0.2
curled	0.024390243902439025	0.1
necessary	0.02564102564102564	0.2
shouts	0.3333333333333333	0.058823529411764705
mumbled	0.0	0.0
patronage	0.02631578947368421	0.07692307692307693
before	0.0021008403361344537	0.5
possession	0.5	0.1111111111111111
heaped	0.0	0.0
stirred	0.25	0.038461538461538464
westerly	1.0	0.2
habits	0.0	0.0
largely	0.023809523809523808	0.3333333333333333
title	0.2	0.09090909090909091
complete	0.014705882352941176	0.037037037037037035
go	0.01680672268907563	0.2222222222222222
sits	0.0	0.0
self-indulgence	0.5	0.25
threading	0.0	0.0
squires	0.0	0.0
clothes	0.034482758620689655	0.11764705882352941
wall	0.031746031746031744	0.25
settled	0.25	0.03333333333333333
attended	0.009708737864077669	0.0625
accelerator	1.0	0.1
innocent	0.0021008403361344537	0.15384615384615385
stamping	0.0	0.0
reservation	0.029411764705882353	0.16666666666666666
war	0.3333333333333333	0.3333333333333333
imaginary	0.08333333333333333	0.16666666666666666
apprehension	0.1111111111111111	0.08333333333333333
sinner	0.3333333333333333	0.5
success	0.014705882352941176	0.25
delicacy	0.14285714285714285	0.07142857142857142
trusted	0.5	0.07692307692307693
bathrobe	0.2	1.0
gunpowder	0.5	0.5
patterns	0.037037037037037035	0.0625
crafter	0.16666666666666666	0.5
tax	0.01818181818181818	0.2
contacts	0.021739130434782608	0.0625
choke	0.012195121951219513	0.029411764705882353
planting	0.14285714285714285	0.09090909090909091
cold	0.05555555555555555	0.07692307692307693
lacked	0.0	0.0
espionage	0.14285714285714285	1.0
tips	0.1	0.03333333333333333
persons	0.004201680672268907	0.6666666666666666
driven	0.07142857142857142	0.045454545454545456
memories	0.0010504201680672268	0.1
backward	0.25	0.125
infuriated	0.027777777777777776	0.125
lightweight	0.14285714285714285	0.3333333333333333
telling	0.007352941176470588	0.23333333333333334
brandy	0.2	1.0
scouting	0.3333333333333333	0.14285714285714285
farmer	0.058823529411764705	0.125
spectacle	0.25	1.0
perfectly	0.047619047619047616	0.5
hacked	0.0	0.0
serge	1.0	1.0
interests	0.0	0.0
brotherhood	0.05263157894736842	0.14285714285714285
favor	0.5	0.16666666666666666
bullshit	0.0021008403361344537	0.2222222222222222
wearing	0.034482758620689655	0.06060606060606061
emit	0.25	0.125
sexual	0.25	0.5
image	0.04878048780487805	0.08333333333333333
admiring	0.0	0.0
excess	0.25	0.06666666666666667
traps	0.0	0.0
warming	0.06666666666666667	0.14285714285714285
betrays	0.0	0.0
stare	0.09090909090909091	0.5
train	0.08695652173913043	0.07407407407407407
genuine	0.2	0.14285714285714285
kinds	0.0	0.0
