vocab	precision	recall
brazenly	0.011494252873563218	1.0
shower	0.024390243902439025	0.125
crib	0.015873015873015872	0.2
single	0.0021008403361344537	0.18181818181818182
creek	0.01694915254237288	0.3333333333333333
hints	0.5	0.05
sends	0.05555555555555555	0.05
station	0.043478260869565216	0.25
beckon	0.5	0.5
preacher	0.1	0.25
chops	0.009433962264150943	0.16666666666666666
pliant	0.3333333333333333	0.09090909090909091
action	0.014705882352941176	0.05555555555555555
windfall	0.14285714285714285	0.125
manifested	0.16666666666666666	0.16666666666666666
fires	0.13333333333333333	0.05263157894736842
angry	0.047619047619047616	0.2
notes	0.019230769230769232	0.034482758620689655
rows	0.0625	0.1111111111111111
ducks	0.08333333333333333	0.06666666666666667
watering	1.0	0.16666666666666666
exactly	0.0021008403361344537	0.2857142857142857
designer	0.024390243902439025	0.08333333333333333
features	0.024390243902439025	0.1
unwarranted	0.1111111111111111	0.08333333333333333
warming	0.06666666666666667	0.14285714285714285
prospects	0.6666666666666666	0.15384615384615385
surgeon	0.045454545454545456	0.3333333333333333
military	0.05263157894736842	0.2
street	0.01694915254237288	1.0
anchor	0.3333333333333333	0.08333333333333333
recalled	0.1	0.07142857142857142
peeling	0.058823529411764705	0.0625
contradicted	0.5	0.14285714285714285
football	0.014705882352941176	0.5
intensity	0.08333333333333333	0.1111111111111111
buggy	0.1	0.041666666666666664
cent	0.2	0.3333333333333333
beware	0.16666666666666666	0.5
kit	0.01818181818181818	0.25
quality	0.024390243902439025	0.08333333333333333
sizes	0.3333333333333333	0.25
ash	0.047619047619047616	0.5
ponderous	0.16666666666666666	0.3333333333333333
rack	0.031746031746031744	0.15384615384615385
threading	0.058823529411764705	0.125
capacity	0.01818181818181818	0.16666666666666666
flashed	0.2	0.06666666666666667
anchored	0.2	0.2
ashamed	0.0010504201680672268	1.0
swarming	0.5	0.16666666666666666
swimming	0.015873015873015872	0.16666666666666666
pause	0.5	0.14285714285714285
may	0.2	0.16666666666666666
gingerly	0.14285714285714285	1.0
pantry	0.09090909090909091	0.3333333333333333
basis	0.0136986301369863	0.125
rites	0.16666666666666666	0.25
became	0.005252100840336135	0.8333333333333334
discussing	0.05	0.3333333333333333
mail	0.0031512605042016808	0.25
verandah	0.058823529411764705	0.3333333333333333
kind	0.0010504201680672268	0.16666666666666666
recorded	0.009708737864077669	0.07692307692307693
sag	0.3333333333333333	0.2
fertile	0.2	0.16666666666666666
wise	0.0031512605042016808	0.2
sauces	0.14285714285714285	0.5
pamphlets	0.14285714285714285	0.14285714285714285
strove	0.2	0.16666666666666666
resignation	0.1111111111111111	0.5
broke	0.017543859649122806	0.012987012987012988
sensations	1.0	0.08
somewhat	0.07142857142857142	0.3
waited	0.009708737864077669	0.125
contempt	0.1111111111111111	0.2
religion	0.024390243902439025	0.25
deathly	1.0	0.25
whirl	0.2	0.041666666666666664
pulpit	0.2	0.14285714285714285
gun	0.3333333333333333	0.05263157894736842
paces	1.0	0.1
walked	0.011627906976744186	0.3333333333333333
wrist	0.012195121951219513	0.2
foliage	0.5	0.25
fund-raising	0.03333333333333333	0.25
held	0.01050420168067227	0.17857142857142858
glued	0.024390243902439025	0.25
lists	0.16666666666666666	0.1
native	0.024390243902439025	0.2
spun	0.011627906976744186	0.1111111111111111
wealth	0.014705882352941176	0.3333333333333333
shouting	0.03508771929824561	0.10526315789473684
suspension	0.0136986301369863	0.07142857142857142
routine	0.14285714285714285	0.06666666666666667
sentences	0.25	0.2222222222222222
crummy	0.25	0.125
insisted	0.02857142857142857	0.2
gratitude	0.020833333333333332	1.0
senseless	0.16666666666666666	0.08333333333333333
righteousness	0.16666666666666666	1.0
knife	0.024390243902439025	0.6666666666666666
varieties	0.5	0.05263157894736842
riffle	0.3333333333333333	0.08333333333333333
cooled	0.25	0.2
dreams	0.0021008403361344537	0.2222222222222222
easy	0.0031512605042016808	0.14285714285714285
nights	0.1111111111111111	0.16666666666666666
sharp	0.01639344262295082	0.047619047619047616
seeking	0.025	0.1111111111111111
faces	0.0031512605042016808	0.14285714285714285
visitor	0.25	0.5
refused	0.038461538461538464	0.1
farmers	0.11764705882352941	0.2222222222222222
congress	0.024390243902439025	0.06666666666666667
razor	0.02	1.0
lonely	0.0021008403361344537	0.3333333333333333
under	0.0010504201680672268	0.3333333333333333
burial	0.16666666666666666	0.16666666666666666
showed	0.004201680672268907	0.16
scraping	0.125	0.05555555555555555
social	0.045454545454545456	0.25
throw	0.011627906976744186	0.034482758620689655
worth	0.0010504201680672268	0.25
hills	0.03389830508474576	0.2222222222222222
breaking	0.041666666666666664	0.013333333333333334
grazing	0.11764705882352941	0.2
side	0.012195121951219513	0.14285714285714285
destroyed	0.019417475728155338	0.2857142857142857
troops	0.05263157894736842	0.1111111111111111
bout	0.030303030303030304	0.16666666666666666
