vocab	precision	recall
myself	0.0010504201680672268	1.0
terror	0.041666666666666664	1.0
section	0.125	1.0
rooftop	0.05	1.0
underwater	0.3333333333333333	1.0
discussion	0.0136986301369863	1.0
cause	0.0010504201680672268	1.0
ritual	1.0	1.0
illegal	0.25	1.0
drilling	0.2	1.0
massive	0.0010504201680672268	1.0
collect	0.16666666666666666	1.0
compromising	0.2	1.0
scrub	0.024390243902439025	1.0
nephews	0.030303030303030304	1.0
associates	0.5	1.0
roundly	0.011494252873563218	1.0
allusions	0.16666666666666666	1.0
local	0.045454545454545456	1.0
week	0.0010504201680672268	1.0
gnaw	0.5	1.0
muttering	0.02702702702702703	1.0
yourself	0.0010504201680672268	1.0
daybed	0.5	1.0
exactly	0.0010504201680672268	1.0
puffed	0.017543859649122806	1.0
sorting	0.05555555555555555	1.0
lest	0.5	1.0
bloated	0.2	1.0
slave	0.3333333333333333	1.0
tickets	0.02040816326530612	1.0
cooked	0.009433962264150943	1.0
dependable	0.3333333333333333	1.0
prevail	0.1111111111111111	1.0
mountainous	0.06666666666666667	1.0
tuberculosis	0.25	1.0
however	0.0010504201680672268	1.0
soup	0.009433962264150943	1.0
whose	0.0010504201680672268	1.0
disgust	0.2	1.0
demanding	0.1111111111111111	1.0
excess	0.25	1.0
slaves	0.16666666666666666	1.0
bedside	0.2	1.0
coat	0.017241379310344827	1.0
best	0.0010504201680672268	1.0
suburb	0.05555555555555555	1.0
leap	0.3333333333333333	1.0
reporters	0.024390243902439025	1.0
retorted	0.017543859649122806	1.0
injured	0.125	1.0
sum	0.030303030303030304	1.0
riffle	0.3333333333333333	1.0
bar	0.06666666666666667	1.0
ideal	0.2	1.0
kissing	0.017543859649122806	1.0
remain	0.1111111111111111	1.0
acres	0.05555555555555555	1.0
rested	0.0625	1.0
speak	0.0010504201680672268	1.0
knocked	0.011627906976744186	1.0
jeweled	0.045454545454545456	1.0
hopes	0.0625	1.0
lands	0.06666666666666667	1.0
employed	0.07142857142857142	1.0
mentally	0.02857142857142857	1.0
argument	0.0010504201680672268	1.0
rigidly	0.5	1.0
swells	0.25	1.0
booth	0.02040816326530612	1.0
petit	0.045454545454545456	1.0
seems	0.0010504201680672268	1.0
too	0.0010504201680672268	1.0
eagle	0.1	1.0
kid	0.0010504201680672268	1.0
ornery	0.1	1.0
southern	0.01694915254237288	1.0
pharmacist	0.045454545454545456	1.0
fashion	0.024390243902439025	1.0
phone	0.021739130434782608	1.0
smashing	0.024390243902439025	1.0
strapped	0.02040816326530612	1.0
drinks	0.009433962264150943	1.0
bleak	0.1	1.0
misjudged	0.1111111111111111	1.0
confidence	0.020833333333333332	1.0
would	0.0010504201680672268	1.0
forbid	0.03333333333333333	1.0
reply	0.0010504201680672268	1.0
extra	0.1	1.0
fair	0.0010504201680672268	1.0
youngest	0.16666666666666666	1.0
album	0.014705882352941176	1.0
intellectual	0.05	1.0
fresh	0.009433962264150943	1.0
barrier	0.1111111111111111	1.0
meditated	0.017543859649122806	1.0
ruined	0.009708737864077669	1.0
suspicious	0.2	1.0
provide	0.029411764705882353	1.0
generosity	0.020833333333333332	1.0
close	0.0010504201680672268	1.0
divided	0.1111111111111111	1.0
brow	1.0	1.0
hostess	0.125	1.0
exasperation	0.03333333333333333	1.0
deathly	1.0	1.0
proposal	0.5	1.0
league	0.014705882352941176	1.0
percolator	0.5	1.0
hook	0.012195121951219513	1.0
fringe	0.25	1.0
form	0.019230769230769232	1.0
gay	0.25	1.0
prove	0.0010504201680672268	1.0
panting	0.02702702702702703	1.0
suite	0.3333333333333333	1.0
exchanging	0.16666666666666666	1.0
ass	0.030303030303030304	1.0
mackinaw	0.09090909090909091	1.0
insult	0.0010504201680672268	1.0
implacable	1.0	1.0
three	0.03125	1.0
freezing	0.05555555555555555	1.0
embellished	0.045454545454545456	1.0
boyhood	0.16666666666666666	1.0
provincial	0.25	1.0
tolerance	0.020833333333333332	1.0
surroundings	0.1111111111111111	1.0
high-school	0.16666666666666666	1.0
lasted	0.009708737864077669	1.0
minuet	0.3333333333333333	1.0
story	0.0010504201680672268	1.0
groping	0.2	1.0
dignity	0.020833333333333332	1.0
encouraged	0.025	1.0
spent	0.0010504201680672268	1.0
poultry	0.058823529411764705	1.0
flock	0.08333333333333333	1.0
liquor	0.009433962264150943	1.0
ice	0.009433962264150943	1.0
lock	0.021739130434782608	1.0
questioned	0.025	1.0
toe	0.08333333333333333	1.0
uniforms	0.017241379310344827	1.0
member	0.5	1.0
suddenness	1.0	1.0
team	0.014705882352941176	1.0
glassy	0.1	1.0
miniature	0.14285714285714285	1.0
shoot	0.0010504201680672268	1.0
bathe	0.125	1.0
absurd	0.5	1.0
declining	0.05555555555555555	1.0
sons	0.014705882352941176	1.0
bicycle	0.015873015873015872	1.0
smooth	0.01639344262295082	1.0
travel	0.0010504201680672268	1.0
handicap	0.3333333333333333	1.0
sang	0.5	1.0
brief	0.05555555555555555	1.0
school	0.019230769230769232	1.0
equation	0.125	1.0
views	0.07142857142857142	1.0
clutching	0.041666666666666664	1.0
government	0.024390243902439025	1.0
backward	0.25	1.0
attention	0.0010504201680672268	1.0
strong	0.0010504201680672268	1.0
connoisseur	0.5	1.0
letters	0.125	1.0
saying	0.0010504201680672268	1.0
shun	1.0	1.0
feel	0.0010504201680672268	1.0
used	0.0010504201680672268	1.0
popping	0.017543859649122806	1.0
muttered	0.017543859649122806	1.0
saved	0.009708737864077669	1.0
appeared	0.009708737864077669	1.0
marbles	0.5	1.0
plagued	0.16666666666666666	1.0
tossed	0.011627906976744186	1.0
future	0.0010504201680672268	1.0
family	0.0010504201680672268	1.0
shanty	1.0	1.0
why	0.0010504201680672268	1.0
entry	0.029411764705882353	1.0
paths	0.25	1.0
suited	0.16666666666666666	1.0
plenitude	1.0	1.0
positively	0.023809523809523808	1.0
wanted	0.0010504201680672268	1.0
parted	0.16666666666666666	1.0
impervious	0.011494252873563218	1.0
stress	0.16666666666666666	1.0
between	0.0010504201680672268	1.0
sea	0.047619047619047616	1.0
perspiration	1.0	1.0
citron	0.5	1.0
knotted	0.2	1.0
highly	0.023809523809523808	1.0
crowds	0.2	1.0
interval	0.14285714285714285	1.0
concluded	0.2	1.0
birds	0.047619047619047616	1.0
proud	0.0010504201680672268	1.0
covetousness	0.5	1.0
fundamentals	0.1	1.0
tollgate	0.058823529411764705	1.0
locked	0.017543859649122806	1.0
charity	0.045454545454545456	1.0
uh-uh	1.0	1.0
punctured	0.2	1.0
inserted	0.1	1.0
guttural	0.1	1.0
slight	0.125	1.0
comes	0.0010504201680672268	1.0
olive	0.009433962264150943	1.0
culprits	0.3333333333333333	1.0
factories	0.2	1.0
reckless	0.05	1.0
pillow	0.024390243902439025	1.0
sure	0.0010504201680672268	1.0
righteousness	0.16666666666666666	1.0
acquire	0.1111111111111111	1.0
beautiful	0.0010504201680672268	1.0
carelessness	0.5	1.0
tenting	0.043478260869565216	1.0
hear	0.0010504201680672268	1.0
untied	0.25	1.0
spark	0.024390243902439025	1.0
poetry	0.125	1.0
vintage	0.02	1.0
forth	0.014705882352941176	1.0
helpless	0.07142857142857142	1.0
clothes	0.017241379310344827	1.0
bearded	0.2	1.0
