vocab	precision	recall
retained	1.0	0.1111111111111111
winter	0.00011943150603129105	0.3333333333333333
successive	0.00011943150603129105	0.2
Like	0.0004777260241251642	0.3333333333333333
heavy	0.0015526095784067838	0.3170731707317073
gilt	0.00035829451809387314	0.3333333333333333
approved	0.00035829451809387314	0.5
lobster-backed	0.00011943150603129105	0.5
lots	0.0025080616266571123	0.3
bolted	0.0002388630120625821	0.16666666666666666
saddlebags	0.00011943150603129105	0.5
believes	0.0011943150603129105	0.9090909090909091
Does	0.0015526095784067838	0.43333333333333335
front	0.0007165890361877463	0.375
season	0.00011943150603129105	0.14285714285714285
still	0.0017914725904693658	0.39473684210526316
pretending	0.0007165890361877463	0.35294117647058826
teasing	0.0004777260241251642	0.10810810810810811
contemplation	0.00011943150603129105	0.16666666666666666
Putting	0.0011943150603129105	0.5263157894736842
connoisseur	0.00011943150603129105	0.5
stubbornly	0.00011943150603129105	0.16666666666666666
unfaithful	0.00011943150603129105	0.2
mountainous	0.00011943150603129105	0.25
rubbed	1.0	0.14285714285714285
pictures	0.0017914725904693658	0.38461538461538464
moral	0.0002388630120625821	1.0
perpetual	0.00035829451809387314	0.23076923076923078
after-school	0.00011943150603129105	1.0
shone	0.0009554520482503284	0.5333333333333333
curving	0.0008360205422190374	0.4117647058823529
scant	0.00035829451809387314	0.6
eleven	0.00011943150603129105	0.2
so-called	0.0002388630120625821	0.6666666666666666
Tell	0.0005971575301564553	0.25
blinked	0.00035829451809387314	0.3333333333333333
sin	0.0002388630120625821	0.15384615384615385
concerning	0.0005971575301564553	0.38461538461538464
slim-waisted	0.00011943150603129105	0.3333333333333333
overseas	0.0002388630120625821	0.6666666666666666
substitute	0.00035829451809387314	0.13043478260869565
major	0.0002388630120625821	0.4
Jew	0.00011943150603129105	0.3333333333333333
denoted	0.00011943150603129105	0.25
untied	0.00035829451809387314	0.2727272727272727
primeval	0.00011943150603129105	0.2
cackled	0.00011943150603129105	0.5
Smiling	0.00035829451809387314	0.42857142857142855
Verdi	0.00011943150603129105	0.3333333333333333
proved	0.0009554520482503284	0.4
skinny	0.00035829451809387314	0.21428571428571427
Hawk	0.0002388630120625821	0.2
Fooled	0.00035829451809387314	0.15
ransom	0.00011943150603129105	0.3333333333333333
absurdity	0.00011943150603129105	0.16666666666666666
climbed	0.0004777260241251642	0.5714285714285714
choosing	0.0002388630120625821	0.2857142857142857
wainscoted	0.00011943150603129105	0.5
Wherever	0.00011943150603129105	0.3333333333333333
husband	0.00011943150603129105	0.16666666666666666
Oval	0.0002388630120625821	0.18181818181818182
shacked	0.00011943150603129105	0.16666666666666666
abdomen	0.00035829451809387314	0.6
rebelled	0.0002388630120625821	0.3333333333333333
proprietor	0.0002388630120625821	1.0
dots	0.0004777260241251642	0.16666666666666666
Big	0.0014331780723754925	0.32432432432432434
punctured	0.00011943150603129105	0.16666666666666666
checkbook	0.00011943150603129105	0.5
low-ceilinged	0.00011943150603129105	1.0
Alabama	0.00011943150603129105	0.2
illegal	0.00011943150603129105	1.0
table	1.0	0.0625
employed	0.00035829451809387314	0.375
chosen	0.0002388630120625821	0.2222222222222222
tumbling	0.0002388630120625821	0.1111111111111111
bricklaying	0.00011943150603129105	1.0
slope	0.0002388630120625821	0.4
serenaded	0.00011943150603129105	0.5
layette	0.00011943150603129105	1.0
scandalized	0.0002388630120625821	0.25
pleasant	0.00011943150603129105	1.0
China	0.0002388630120625821	0.16666666666666666
pimples	0.00011943150603129105	0.25
Anabaptists	0.0002388630120625821	1.0
intimate	0.00035829451809387314	0.23076923076923078
leaning	0.0007165890361877463	0.3157894736842105
press	0.0013137465663442015	0.2894736842105263
Papa	0.0002388630120625821	0.25
bright	0.0005971575301564553	0.38461538461538464
Chandler	0.00011943150603129105	0.25
peeling	0.00035829451809387314	0.1875
sing	0.0002388630120625821	0.18181818181818182
scornful	0.00011943150603129105	0.25
operetta	0.00011943150603129105	0.5
forty-nine	0.00011943150603129105	0.3333333333333333
sons	0.0004777260241251642	0.6666666666666666
prosperous	0.0005971575301564553	0.2631578947368421
risen	0.0011943150603129105	0.35714285714285715
Prompted	0.0002388630120625821	0.18181818181818182
flushed	0.0004777260241251642	0.23529411764705882
Show	0.0011943150603129105	0.37037037037037035
patriot	0.00011943150603129105	0.5
clay	0.0002388630120625821	0.18181818181818182
bunks	0.0005971575301564553	0.17857142857142858
exorcise	0.00011943150603129105	0.5
constructions	0.0005971575301564553	0.625
braced	0.0002388630120625821	0.16666666666666666
long-shanked	0.00011943150603129105	0.3333333333333333
snow	0.0004777260241251642	0.26666666666666666
Rather	0.0005971575301564553	0.5555555555555556
birds	0.0005971575301564553	0.25
air	0.0009554520482503284	0.3076923076923077
flashy	0.0005971575301564553	0.3125
redcoat	0.00011943150603129105	0.5
excited	0.0008360205422190374	0.28
sugared	0.00011943150603129105	0.16666666666666666
openly	0.00011943150603129105	1.0
partly	0.0002388630120625821	0.6666666666666666
headed	0.0007165890361877463	0.46153846153846156
wonder	0.0004777260241251642	0.5
strike	1.0	0.02702702702702703
illness	0.00011943150603129105	0.25
justice	0.00035829451809387314	0.375
sorrel	0.00011943150603129105	0.08333333333333333
Rector	0.00035829451809387314	0.42857142857142855
thorn	0.00011943150603129105	0.14285714285714285
minds	0.0007165890361877463	0.35294117647058826
