cluster	precision	recall
0	0.5	0.09848484848484848
1	0.03571428571428571	0.19916904904521004
2	0.00041371009864787104	0.4309119042077666
3	1.0	0.058823529411764705
4	0.5	0.02543810062182024
5	1.0	0.3333333333333333
6	0.5	0.05637254901960784
7	1.0	0.05263157894736842
8	1.0	0.16666666666666666
9	1.0	0.5
10	nan	nan
11	1.0	0.03571428571428571
12	1.0	0.2
13	1.0	1.0
14	1.0	0.07692307692307693
15	1.0	0.2
16	1.0	1.0
17	1.0	0.5
18	1.0	0.2
19	1.0	0.25
20	1.0	0.5
21	1.0	0.25
22	1.0	0.2
23	1.0	0.07142857142857142
24	1.0	0.125
25	1.0	0.3333333333333333
26	1.0	0.2
27	1.0	0.3333333333333333
28	1.0	0.2
29	nan	nan
30	1.0	0.08333333333333333
31	1.0	0.06666666666666667
32	1.0	0.125
33	1.0	0.043478260869565216
34	1.0	0.25
35	1.0	0.045454545454545456
36	1.0	0.125
37	1.0	0.058823529411764705
38	1.0	0.043478260869565216
39	1.0	0.25
40	1.0	0.16666666666666666
41	1.0	0.16666666666666666
42	1.0	0.14285714285714285
43	1.0	0.1111111111111111
44	1.0	0.125
45	1.0	0.07142857142857142
46	1.0	0.1111111111111111
47	1.0	0.058823529411764705
48	1.0	0.2
49	1.0	0.125
50	1.0	0.1
51	1.0	0.3333333333333333
52	1.0	0.03333333333333333
53	1.0	0.3333333333333333
54	1.0	0.25
55	1.0	0.16666666666666666
56	1.0	0.25
57	1.0	0.07692307692307693
58	1.0	0.3333333333333333
59	1.0	0.5
60	1.0	1.0
61	1.0	0.125
62	1.0	0.024390243902439025
63	1.0	0.1111111111111111
64	1.0	0.2
65	1.0	0.2
66	1.0	0.125
67	1.0	0.14285714285714285
68	1.0	0.1111111111111111
69	1.0	0.07142857142857142
70	nan	nan
71	1.0	0.25
72	1.0	0.125
73	1.0	1.0
74	nan	nan
75	1.0	0.2
76	1.0	0.5
77	1.0	0.07692307692307693
78	1.0	0.07692307692307693
79	1.0	1.0
80	1.0	0.09090909090909091
81	nan	nan
82	nan	nan
83	1.0	0.25
84	1.0	0.05
85	1.0	1.0
86	1.0	0.1
87	1.0	0.05
88	1.0	0.3333333333333333
89	1.0	0.25
90	1.0	0.07692307692307693
91	1.0	0.5
92	1.0	0.125
93	1.0	0.03571428571428571
94	1.0	0.3333333333333333
95	1.0	0.14285714285714285
96	1.0	0.5
97	1.0	0.25
98	1.0	0.5
99	nan	nan
100	nan	nan
101	1.0	0.3333333333333333
102	1.0	0.06666666666666667
103	nan	nan
104	1.0	0.14285714285714285
105	1.0	0.16666666666666666
106	1.0	0.07692307692307693
107	1.0	0.16666666666666666
108	1.0	1.0
109	1.0	0.25
110	1.0	0.0625
111	1.0	0.2
112	nan	nan
113	1.0	0.06666666666666667
114	1.0	1.0
115	1.0	0.125
116	1.0	0.05555555555555555
117	1.0	0.2
118	1.0	0.05
119	1.0	0.09090909090909091
120	1.0	0.047619047619047616
121	1.0	0.05555555555555555
122	1.0	0.125
123	1.0	0.1111111111111111
124	1.0	0.1111111111111111
125	nan	nan
126	1.0	0.030303030303030304
127	1.0	0.5
128	1.0	0.06666666666666667
129	1.0	0.07692307692307693
130	nan	nan
131	nan	nan
132	1.0	0.06666666666666667
133	1.0	0.02564102564102564
134	1.0	0.3333333333333333
135	1.0	0.25
136	1.0	0.014084507042253521
137	1.0	0.2
138	1.0	0.05555555555555555
139	1.0	0.14285714285714285
140	nan	nan
141	nan	nan
142	1.0	0.1
143	nan	nan
144	1.0	0.3333333333333333
145	1.0	0.25
146	nan	nan
147	1.0	0.058823529411764705
148	1.0	0.03571428571428571
149	1.0	0.14285714285714285
150	1.0	0.3333333333333333
151	1.0	0.2
152	1.0	0.16666666666666666
153	1.0	0.14285714285714285
154	1.0	0.3333333333333333
155	1.0	0.1
156	1.0	0.14285714285714285
157	1.0	0.5
158	1.0	0.5
159	1.0	0.14285714285714285
160	1.0	0.5
161	nan	nan
162	1.0	0.14285714285714285
163	1.0	0.1
164	1.0	0.25
165	1.0	0.125
166	1.0	0.3333333333333333
167	1.0	1.0
168	1.0	0.3333333333333333
169	1.0	0.038461538461538464
170	1.0	0.2
171	1.0	0.023255813953488372
172	1.0	0.125
173	1.0	0.07692307692307693
174	nan	nan
175	1.0	0.5
176	1.0	0.16666666666666666
177	1.0	0.037037037037037035
178	1.0	1.0
179	nan	nan
180	1.0	0.08333333333333333
181	1.0	0.14285714285714285
182	1.0	0.16666666666666666
183	1.0	0.5
184	1.0	0.125
185	1.0	0.16666666666666666
186	nan	nan
187	nan	nan
188	nan	nan
189	1.0	0.07692307692307693
190	1.0	0.25
191	1.0	0.08333333333333333
192	nan	nan
193	1.0	0.16666666666666666
194	nan	nan
195	nan	nan
196	1.0	0.25
197	1.0	0.14285714285714285
198	1.0	0.05263157894736842
199	1.0	0.3333333333333333
200	nan	nan
201	1.0	0.3333333333333333
202	1.0	0.1111111111111111
203	1.0	0.058823529411764705
204	1.0	0.25
205	1.0	0.0625
206	1.0	0.08333333333333333
207	1.0	0.5
208	1.0	0.3333333333333333
209	1.0	0.3333333333333333
210	1.0	0.5
211	1.0	0.05263157894736842
212	1.0	1.0
213	1.0	0.05
214	1.0	0.1111111111111111
215	nan	nan
216	1.0	0.25
217	1.0	0.2
218	1.0	0.07142857142857142
219	1.0	0.05555555555555555
220	nan	nan
221	1.0	0.038461538461538464
222	1.0	0.5
223	1.0	0.2
224	nan	nan
225	1.0	1.0
226	1.0	0.0196078431372549
227	1.0	0.25
228	1.0	1.0
229	1.0	0.06666666666666667
230	1.0	0.5
231	1.0	0.07142857142857142
232	1.0	0.1
233	1.0	0.2
234	1.0	0.5
235	1.0	0.16666666666666666
236	1.0	0.02857142857142857
237	1.0	0.3333333333333333
238	1.0	0.0625
239	1.0	0.5
240	1.0	0.25
241	1.0	0.16666666666666666
242	1.0	1.0
243	1.0	0.125
244	1.0	0.125
245	1.0	0.2
246	1.0	0.3333333333333333
247	1.0	0.125
248	1.0	0.06666666666666667
249	1.0	0.05555555555555555
250	1.0	0.2
251	1.0	0.07692307692307693
252	1.0	0.5
253	1.0	0.14285714285714285
254	1.0	0.25
255	1.0	0.5
256	1.0	0.5
257	1.0	0.08333333333333333
258	nan	nan
259	1.0	0.1111111111111111
260	1.0	1.0
261	1.0	0.06666666666666667
262	nan	nan
263	nan	nan
264	1.0	0.5
265	1.0	0.027777777777777776
266	1.0	0.05
267	1.0	0.1
268	1.0	0.06666666666666667
269	1.0	0.03225806451612903
270	1.0	0.07692307692307693
271	1.0	0.1111111111111111
272	1.0	1.0
273	1.0	0.05263157894736842
274	1.0	0.16666666666666666
275	1.0	0.08333333333333333
276	1.0	0.058823529411764705
277	1.0	0.3333333333333333
278	1.0	0.5
279	1.0	0.25
280	1.0	0.045454545454545456
281	1.0	0.3333333333333333
282	1.0	0.25
283	nan	nan
284	1.0	0.125
285	1.0	0.125
286	1.0	0.07692307692307693
287	1.0	0.2
288	1.0	0.06666666666666667
289	1.0	0.25
290	1.0	0.14285714285714285
291	1.0	0.05555555555555555
292	1.0	0.07142857142857142
293	1.0	0.125
294	1.0	0.07142857142857142
295	1.0	0.2
296	1.0	0.2
297	1.0	0.14285714285714285
298	nan	nan
299	1.0	0.16666666666666666
300	1.0	0.5
301	1.0	0.5
302	1.0	0.09090909090909091
303	1.0	0.03571428571428571
304	1.0	0.14285714285714285
305	1.0	0.1111111111111111
306	1.0	0.07692307692307693
307	1.0	0.25
308	1.0	0.3333333333333333
309	1.0	0.02702702702702703
310	1.0	0.2
311	1.0	0.08333333333333333
312	1.0	0.16666666666666666
313	1.0	1.0
314	1.0	0.09090909090909091
315	1.0	0.1111111111111111
316	1.0	0.3333333333333333
317	1.0	0.1111111111111111
318	1.0	0.5
319	1.0	0.14285714285714285
320	1.0	0.25
321	1.0	0.07142857142857142
322	1.0	0.2
323	nan	nan
324	1.0	0.25
325	1.0	0.14285714285714285
326	1.0	0.05263157894736842
327	1.0	0.07142857142857142
328	1.0	0.25
