cluster	precision	recall
0	0.5	0.25316455696202533
1	1.0	0.5
2	0.03703703703703703	0.13466173854872995
3	1.0	0.019230769230769232
4	1.0	0.016129032258064516
5	0.001574993094230341	0.5166728486183777
6	0.5	0.625
7	1.0	0.3333333333333333
8	1.0	0.5
9	1.0	0.003676470588235294
10	1.0	0.027777777777777776
11	1.0	1.0
12	1.0	0.5
13	1.0	0.021739130434782608
14	1.0	0.16666666666666666
15	1.0	0.017543859649122806
16	1.0	0.038461538461538464
17	1.0	0.0022471910112359553
18	1.0	0.07142857142857142
19	1.0	0.5
20	1.0	0.002932551319648094
21	1.0	0.08333333333333333
22	1.0	0.07692307692307693
23	1.0	0.07142857142857142
24	1.0	0.2
25	1.0	0.125
26	1.0	0.001564945226917058
27	1.0	0.0019083969465648854
28	1.0	0.2
29	1.0	1.0
30	1.0	0.08333333333333333
31	1.0	0.1111111111111111
32	1.0	0.012987012987012988
33	1.0	0.0027548209366391185
34	1.0	0.06666666666666667
35	1.0	0.07692307692307693
36	1.0	0.004219409282700422
37	1.0	0.03571428571428571
38	1.0	1.0
39	1.0	0.013513513513513514
40	1.0	0.1111111111111111
41	1.0	0.05263157894736842
42	1.0	0.5
43	1.0	0.3333333333333333
44	1.0	0.02857142857142857
45	1.0	0.02
46	1.0	1.0
47	1.0	1.0
48	1.0	1.0
49	1.0	0.14285714285714285
50	1.0	0.014705882352941176
51	1.0	1.0
52	1.0	0.02857142857142857
53	1.0	0.01098901098901099
54	1.0	0.041666666666666664
55	1.0	0.006993006993006993
56	1.0	1.0
57	1.0	0.0058823529411764705
58	1.0	1.0
59	1.0	0.125
60	1.0	1.0
61	1.0	0.08333333333333333
62	1.0	0.25
63	1.0	0.2
64	1.0	0.020833333333333332
65	1.0	0.25
66	1.0	0.5
67	1.0	0.005649717514124294
68	1.0	0.017543859649122806
69	1.0	0.012345679012345678
70	1.0	0.045454545454545456
71	1.0	1.0
72	1.0	1.0
73	1.0	0.009433962264150943
74	1.0	0.05
75	1.0	0.05263157894736842
76	1.0	1.0
77	1.0	0.00558659217877095
78	1.0	1.0
79	1.0	0.041666666666666664
80	1.0	1.0
81	1.0	0.16666666666666666
82	1.0	1.0
83	1.0	0.16666666666666666
84	1.0	0.007874015748031496
85	1.0	0.14285714285714285
86	1.0	0.1
87	1.0	0.25
88	1.0	0.5
89	1.0	0.007575757575757576
90	1.0	1.0
91	1.0	1.0
92	1.0	0.021739130434782608
93	1.0	1.0
94	1.0	0.023809523809523808
95	1.0	0.007462686567164179
96	1.0	0.006024096385542169
97	1.0	0.0038910505836575876
98	1.0	0.5
99	1.0	0.07692307692307693
100	1.0	0.09090909090909091
101	1.0	1.0
102	1.0	0.047619047619047616
103	1.0	0.5
104	1.0	1.0
105	1.0	0.25
106	1.0	0.02564102564102564
107	1.0	0.007407407407407408
