vocab	precision	recall
know	1.0	1.0
windowpanes	0.00011941724385001195	1.0
play-acting	0.00011941724385001195	1.0
cuts	0.00011941724385001195	1.0
very	0.00011941724385001195	1.0
her	0.00011941724385001195	1.0
Drunkenness	0.00011941724385001195	1.0
teens	0.00011941724385001195	1.0
bewilderedly	0.00011941724385001195	1.0
warmed	0.00011941724385001195	1.0
colonel	0.00011941724385001195	1.0
worshippers	0.00011941724385001195	1.0
choir	0.00011941724385001195	1.0
loss	0.00011941724385001195	1.0
confounded	0.00011941724385001195	1.0
Tussle	0.00011941724385001195	1.0
shovel	0.00011941724385001195	1.0
lapels	0.00011941724385001195	1.0
rows	0.00011941724385001195	1.0
loyalty	0.00011941724385001195	1.0
self-conscious	0.00011941724385001195	1.0
rebuild	0.00011941724385001195	1.0
boyhood	0.00011941724385001195	1.0
Yamata	0.00011941724385001195	1.0
Grandma	0.00011941724385001195	1.0
jug	0.00011941724385001195	1.0
scant	0.00011941724385001195	1.0
cuttings	0.00011941724385001195	1.0
decisions	0.00011941724385001195	1.0
lordship	1.0	1.0
depraved	0.00011941724385001195	1.0
fed	0.00011941724385001195	1.0
concentrated	0.00011941724385001195	1.0
horizon	0.00011941724385001195	1.0
frowning	0.00011941724385001195	1.0
kissed	0.00011941724385001195	1.0
succeeded	0.00011941724385001195	1.0
bottles	0.00011941724385001195	1.0
winds	0.00011941724385001195	1.0
Why	0.00011941724385001195	1.0
biscuits	0.00011941724385001195	1.0
ago	0.00011941724385001195	1.0
portrait	1.0	1.0
inches	0.00011941724385001195	1.0
Raynal	0.00011941724385001195	1.0
slippers	0.00011941724385001195	1.0
abrupt	0.00011941724385001195	1.0
laughing	0.00011941724385001195	1.0
)	0.00011941724385001195	1.0
ritual	0.00011941724385001195	1.0
water's	0.00011941724385001195	1.0
moralistic	0.00011941724385001195	1.0
Magdalene	0.00011941724385001195	1.0
loomed	0.00011941724385001195	1.0
menace	0.00011941724385001195	1.0
vine	0.00011941724385001195	1.0
pace	0.00011941724385001195	1.0
fall	0.00011941724385001195	1.0
electric	0.00011941724385001195	1.0
placing	0.00011941724385001195	1.0
scared	0.00011941724385001195	1.0
Detroit	0.00011941724385001195	1.0
throats	0.00011941724385001195	1.0
favored	0.00011941724385001195	1.0
level	0.00011941724385001195	1.0
Every	0.00011941724385001195	1.0
Anne	0.00011941724385001195	1.0
source	0.00011941724385001195	1.0
carelessness	0.00011941724385001195	1.0
reach	0.00011941724385001195	1.0
comfortable	0.00011941724385001195	1.0
rigid	0.00011941724385001195	1.0
peace-loving	0.00011941724385001195	1.0
opened	0.00011941724385001195	1.0
spite	0.00011941724385001195	1.0
suit	0.00011941724385001195	1.0
bothering	0.00011941724385001195	1.0
subtracted	0.00011941724385001195	1.0
graduate	0.00011941724385001195	1.0
brand	0.00011941724385001195	1.0
bloated	0.00011941724385001195	1.0
smugglers'	0.00011941724385001195	1.0
Abbey	0.00011941724385001195	1.0
specific	1.0	1.0
mourn	0.00011941724385001195	1.0
obliged	0.00011941724385001195	1.0
safe	0.00011941724385001195	1.0
recreation	0.00011941724385001195	1.0
Edwina	0.00011941724385001195	1.0
protestations	0.00011941724385001195	1.0
refuses	1.0	1.0
stay	0.00011941724385001195	1.0
Debts	0.00011941724385001195	1.0
divorced	0.00011941724385001195	1.0
eventual	0.00011941724385001195	1.0
mast	1.0	1.0
entanglement	0.00011941724385001195	1.0
wonder	0.00011941724385001195	1.0
prints	0.00011941724385001195	1.0
palpably	0.00011941724385001195	1.0
apron	0.00011941724385001195	1.0
hardware	0.00011941724385001195	1.0
ass	0.00011941724385001195	1.0
observers	0.00011941724385001195	1.0
silent	0.00011941724385001195	1.0
Be	0.00011941724385001195	1.0
rove	0.00011941724385001195	1.0
Martinez	0.00011941724385001195	1.0
gulped	0.00011941724385001195	1.0
marriage	0.00011941724385001195	1.0
blasphemed	0.00011941724385001195	1.0
harassed	0.00011941724385001195	1.0
everywhere	0.00011941724385001195	1.0
clumsily	0.00011941724385001195	1.0
spattered	0.00011941724385001195	1.0
nothin	0.00011941724385001195	1.0
unworn	0.00011941724385001195	1.0
sensitivity	0.00011941724385001195	1.0
gas	0.00011941724385001195	1.0
warm	0.00011941724385001195	1.0
having	0.00011941724385001195	1.0
advance	0.00011941724385001195	1.0
waffles	0.00011941724385001195	1.0
manifested	0.00011941724385001195	1.0
visiting	0.00011941724385001195	1.0
practically	0.00011941724385001195	1.0
tuberculosis	0.00011941724385001195	1.0
issues	0.00011941724385001195	1.0
Coughlin	0.00011941724385001195	1.0
agent	0.00011941724385001195	1.0
misplaced	0.00011941724385001195	1.0
nudging	0.00011941724385001195	1.0
parts	0.00011941724385001195	1.0
royal	0.00011941724385001195	1.0
Town	0.00011941724385001195	1.0
unasked	0.00011941724385001195	1.0
moist	0.00011941724385001195	1.0
Girl	0.00011941724385001195	1.0
camaraderie	0.00011941724385001195	1.0
find	0.00011941724385001195	1.0
haunted	0.00011941724385001195	1.0
Couldn't	1.0	1.0
caused	0.00011941724385001195	1.0
Navy	0.00011941724385001195	1.0
John's	0.00011941724385001195	1.0
grabbed	0.00011941724385001195	1.0
tearing	0.00011941724385001195	1.0
Bud	0.00011941724385001195	1.0
vintage	0.00011941724385001195	1.0
bedraggled	0.00011941724385001195	1.0
irons	0.00011941724385001195	1.0
elderly	0.00011941724385001195	1.0
ten	0.00011941724385001195	1.0
wraith-like	0.00011941724385001195	1.0
Nobody	0.00011941724385001195	1.0
