vocab	precision	recall
kindled	0.0003225112878950763	0.23076923076923078
costly	0.00021500752526338422	0.3333333333333333
techniques	0.00021500752526338422	0.6666666666666666
moment	0.0005375188131584606	0.5
accepting	0.0006450225757901526	0.46153846153846156
soaking	0.0005375188131584606	0.19230769230769232
bearing	0.0024725865405289186	0.5111111111111111
scandal	0.00021500752526338422	0.5
wattles	0.00010750376263169211	0.3333333333333333
gleam	0.0003225112878950763	0.3333333333333333
Zionism	0.00010750376263169211	0.5
Afterwards	0.0005375188131584606	0.7142857142857143
ruled	0.0003225112878950763	0.2727272727272727
rags	0.0011825413889486132	0.19298245614035087
procurer	0.00021500752526338422	0.25
phoned	0.0005375188131584606	0.8333333333333334
disowned	0.00010750376263169211	0.2
York	0.00010750376263169211	0.5
tune	0.0003225112878950763	0.375
mattered	0.00043001505052676843	1.0
Charming	0.0008600301010535369	0.34782608695652173
developed	0.0010750376263169211	0.4
mountain	0.0013975489142119973	0.4642857142857143
rebutted	0.00010750376263169211	0.25
Abbey	0.00021500752526338422	1.0
Mutton	0.00021500752526338422	0.6666666666666666
borrowed	0.00010750376263169211	0.2
picket	0.00043001505052676843	0.4
Canal	0.00010750376263169211	0.14285714285714285
downpour	0.00010750376263169211	0.14285714285714285
questions	0.0007525263384218448	0.3888888888888889
forces	0.0015050526768436896	0.5185185185185185
sprouting	0.0003225112878950763	0.3
factories	0.0003225112878950763	0.6
replying	0.00043001505052676843	1.0
engaged	0.0008600301010535369	0.2857142857142857
15	0.00021500752526338422	0.5
mist	0.00043001505052676843	0.4444444444444444
magazine	0.00021500752526338422	0.2222222222222222
Weaning	0.00010750376263169211	0.2
resentful	0.00010750376263169211	1.0
Who	0.00010750376263169211	0.3333333333333333
cheerful	0.00010750376263169211	0.3333333333333333
preferred	0.0007525263384218448	0.5384615384615384
soft	0.0007525263384218448	0.3888888888888889
rail	0.00043001505052676843	0.3076923076923077
Shortly	0.00043001505052676843	0.36363636363636365
bluff	0.0003225112878950763	0.6
trolls	0.00021500752526338422	0.5
cleaning	0.00043001505052676843	0.36363636363636365
tumbled	0.0003225112878950763	0.17647058823529413
veil	0.0003225112878950763	0.3
contrition	0.00010750376263169211	0.3333333333333333
prie-dieu	0.00010750376263169211	1.0
down	0.0008600301010535369	0.20512820512820512
interests	0.0007525263384218448	0.5384615384615384
identity	0.00010750376263169211	0.14285714285714285
completing	0.00043001505052676843	0.36363636363636365
citizens	0.00010750376263169211	0.5
honour	0.0005375188131584606	0.45454545454545453
wails	0.00010750376263169211	0.07692307692307693
wares	0.0003225112878950763	0.375
pinafores	0.00010750376263169211	0.25
majority	0.00021500752526338422	0.5
Fuss	0.0007525263384218448	0.2916666666666667
peaceful	0.00021500752526338422	0.6666666666666666
fleetest	0.00010750376263169211	0.3333333333333333
survived	0.0006450225757901526	0.35294117647058826
impudently	0.00010750376263169211	0.2
likewise	0.00043001505052676843	0.5714285714285714
indecent	0.00010750376263169211	0.16666666666666666
bestubbled	0.00010750376263169211	0.3333333333333333
twitched	0.00043001505052676843	0.4444444444444444
parties	0.0003225112878950763	0.75
broody	0.00021500752526338422	0.15384615384615385
dying	0.0009675338636852289	0.28125
