vocab	precision	recall
mention	0.16666666666666666	0.06666666666666667
number	0.16666666666666666	0.05
fold	0.1	0.047619047619047616
coupons	0.14285714285714285	0.3333333333333333
bathing	0.25	0.25
industrious	0.04	0.14285714285714285
collapsed	0.25	0.058823529411764705
belch	0.16666666666666666	0.1111111111111111
alien	0.16666666666666666	0.07692307692307693
maids	0.16666666666666666	0.16666666666666666
obliged	0.0625	0.125
swarmed	0.043478260869565216	0.16666666666666666
flushed	0.1111111111111111	0.058823529411764705
brotherhood	0.07692307692307693	0.14285714285714285
bending	0.125	0.07692307692307693
ray	0.125	0.08333333333333333
healed	0.1111111111111111	0.14285714285714285
pigeon	0.16666666666666666	1.0
ponderous	0.058823529411764705	0.3333333333333333
ribbons	0.16666666666666666	0.2222222222222222
ritual	1.0	0.5
lost	0.15384615384615385	0.07692307692307693
silent	0.125	0.1111111111111111
unconcerned	0.05	1.0
rude	0.047619047619047616	0.06666666666666667
referred	0.1	0.05555555555555555
defended	0.0625	0.07692307692307693
luck	0.05	0.1111111111111111
accepted	0.16666666666666666	0.06666666666666667
picking	0.06666666666666667	0.07142857142857142
thinking	0.043478260869565216	0.037037037037037035
tan	0.09090909090909091	0.14285714285714285
puffed	0.1111111111111111	0.07692307692307693
solved	0.16666666666666666	0.1
touch	0.06666666666666667	0.02127659574468085
way	0.027777777777777776	0.07692307692307693
unsung	0.16666666666666666	0.2
shouting	0.125	0.05263157894736842
rabble	0.1111111111111111	0.16666666666666666
physical	0.1111111111111111	0.3333333333333333
piling	0.2	0.1
older	0.14285714285714285	0.05555555555555555
handlebars	0.1111111111111111	0.5
distinction	0.09090909090909091	0.2
housing	0.06666666666666667	0.125
trips	0.09090909090909091	0.045454545454545456
substantive	0.14285714285714285	0.5
birdbath	0.3333333333333333	1.0
dislodge	0.08333333333333333	0.2
graphic	0.07692307692307693	0.14285714285714285
purple	0.06666666666666667	0.08333333333333333
vacation	0.14285714285714285	1.0
joy	0.2	0.2857142857142857
essential	0.0625	0.09090909090909091
tears	0.125	0.043478260869565216
dungeon	0.1	0.3333333333333333
loyalty	0.07692307692307693	0.2
five	0.06666666666666667	0.06666666666666667
solitary	0.1	0.06666666666666667
lewd	0.09090909090909091	0.14285714285714285
resolutely	0.043478260869565216	0.5
grief	0.10526315789473684	0.4
eruption	0.125	0.1
blinkers	0.07692307692307693	0.125
headquarters	0.1	0.125
conflict	0.14285714285714285	0.09090909090909091
supplies	0.16666666666666666	0.08333333333333333
follow	0.16666666666666666	0.03571428571428571
hugging	0.3333333333333333	0.23076923076923078
trying	0.02702702702702703	0.045454545454545456
cruel	0.5	0.14285714285714285
surged	0.14285714285714285	0.1
preceding	0.14285714285714285	0.07142857142857142
interrupted	0.5	0.1111111111111111
unfaithful	0.058823529411764705	0.2
reap	0.14285714285714285	0.25
eyebrows	0.16666666666666666	0.5
loose	0.1	0.04
otherwise	0.04	0.3333333333333333
thwart	0.16666666666666666	0.1
patrons	0.16666666666666666	0.2
flour	0.1	1.0
extinguish	0.1	0.06666666666666667
privacy	0.1	0.2
oval	0.07142857142857142	0.1
unimaginable	0.09090909090909091	0.25
perhaps	0.04	0.16666666666666666
push	0.125	0.09090909090909091
boards	0.16666666666666666	0.05263157894736842
untied	0.4	0.18181818181818182
balls	0.16666666666666666	0.05
humble	0.14285714285714285	0.08333333333333333
geologist	0.2	1.0
ever	0.02702702702702703	0.2
disrepair	0.041666666666666664	1.0
happily	0.1111111111111111	0.16666666666666666
mud	0.25	0.2
contact	0.1111111111111111	0.0625
stemmed	0.1111111111111111	0.14285714285714285
rocks	0.09090909090909091	0.06666666666666667
pity	0.5	0.1
apprentice	0.16666666666666666	0.3333333333333333
bolted	0.05263157894736842	0.08333333333333333
lawns	0.07692307692307693	0.5
goddamn	0.047619047619047616	0.08333333333333333
lyrics	0.07692307692307693	0.2
hired	0.16666666666666666	0.1
pregnant	0.14285714285714285	0.25
redcoat	0.5	0.5
spared	0.05555555555555555	0.14285714285714285
furlough	0.16666666666666666	0.5
neutral	0.16666666666666666	0.16666666666666666
unseen	0.09090909090909091	0.25
strange	0.047619047619047616	0.25
unbroken	0.2	0.25
began	0.07142857142857142	0.1
diagrams	0.1111111111111111	0.3333333333333333
curled	0.125	0.1
careers	0.058823529411764705	0.2
wear	0.25	0.06451612903225806
deliciously	0.045454545454545456	0.25
saint	0.2	0.07692307692307693
slammed	0.1	0.14285714285714285
awaiting	0.14285714285714285	0.4
floors	0.06666666666666667	0.0625
civil	0.2	0.3333333333333333
recognized	0.1	0.05263157894736842
invented	0.07692307692307693	0.09090909090909091
giggled	0.25	0.3333333333333333
strode	0.07692307692307693	0.5
unnoticed	0.16666666666666666	1.0
hesitancy	0.2	0.16666666666666666
woolen	0.06666666666666667	0.3333333333333333
intensifying	0.2	0.14285714285714285
suspension	0.1	0.07142857142857142
cape	0.2	0.3333333333333333
features	0.1111111111111111	0.1
luminous	1.0	0.25
village	0.08333333333333333	0.16666666666666666
slop	0.14285714285714285	0.0625
gowns	0.3333333333333333	0.2222222222222222
self	0.08333333333333333	0.5
easier	0.037037037037037035	0.05555555555555555
brick	0.08333333333333333	1.0
rifles	0.1	0.09090909090909091
huddling	0.1	0.25
haughty	0.14285714285714285	0.1111111111111111
stopping	0.06666666666666667	0.034482758620689655
argued	0.06666666666666667	0.14285714285714285
tools	0.16666666666666666	0.07142857142857142
wants	0.03333333333333333	0.08333333333333333
duty	0.06666666666666667	0.25
beckoned	0.08333333333333333	0.3333333333333333
stars	0.3333333333333333	0.09523809523809523
odd	0.09523809523809523	0.11764705882352941
troubled	0.1	0.041666666666666664
asks	0.125	0.07692307692307693
declaration	0.07692307692307693	0.14285714285714285
hastily	0.0625	0.3333333333333333
tax	0.06666666666666667	0.2
hung	0.05555555555555555	0.09090909090909091
extension	0.25	0.0625
occur	0.058823529411764705	0.1
stairs	0.06666666666666667	0.25
baggage	0.16666666666666666	0.5
hunch	0.1	0.16666666666666666
jerky	0.041666666666666664	0.07692307692307693
dandelion	0.16666666666666666	0.5
clogging	0.3333333333333333	0.07142857142857142
emotions	0.11764705882352941	1.0
laborers	0.07692307692307693	0.2
fearfully	0.2	1.0
instructed	0.0625	0.16666666666666666
hostess	0.1111111111111111	0.25
times	0.06666666666666667	0.09090909090909091
rank	0.16666666666666666	0.045454545454545456
ascended	0.07142857142857142	0.125
sixty	0.14285714285714285	0.2
discover	0.2	0.05263157894736842
blizzard	0.1111111111111111	0.3333333333333333
avoided	0.05555555555555555	0.05555555555555555
fineness	0.04	0.16666666666666666
trigger	0.14285714285714285	0.08333333333333333
voice	0.3333333333333333	0.07142857142857142
senses	0.2	0.037037037037037035
cupboards	0.2222222222222222	0.6666666666666666
ruffled	0.07692307692307693	0.043478260869565216
most	0.06666666666666667	0.1111111111111111
saloons	0.25	0.08333333333333333
dripped	0.058823529411764705	0.25
table	0.2	0.0625
rendezvous	0.25	0.5
shoe	0.058823529411764705	0.25
loveliness	0.25	0.25
guilt	0.05263157894736842	0.2
tactic	0.125	0.25
involve	0.16666666666666666	0.08333333333333333
away	0.05555555555555555	0.2857142857142857
criticize	0.1111111111111111	0.25
buffet	0.1	0.125
broke	0.07142857142857142	0.012987012987012988
putting	0.06666666666666667	0.05555555555555555
provides	0.14285714285714285	0.15384615384615385
seen	0.25	0.03571428571428571
liked	0.125	0.25
frauds	0.2	0.058823529411764705
historian	0.09090909090909091	0.5
enrolled	0.1111111111111111	0.16666666666666666
care	0.25	0.047619047619047616
knock	0.0625	0.05555555555555555
patterns	0.2	0.058823529411764705
wedding	0.05	0.0625
overcoming	0.14285714285714285	0.13333333333333333
journeys	0.07142857142857142	0.25
doubtless	0.07692307692307693	0.3333333333333333
breakfast	0.08333333333333333	1.0
provincial	0.3333333333333333	0.3333333333333333
protest	0.08333333333333333	0.2
lightning	0.14285714285714285	1.0
wonderful	0.06666666666666667	0.1
northern	0.1111111111111111	0.3333333333333333
sheath	0.07692307692307693	0.3333333333333333
wheels	0.15789473684210525	0.2727272727272727
futility	0.16666666666666666	1.0
euphoria	0.5	0.5
groom	0.16666666666666666	0.09090909090909091
juicy	0.16666666666666666	0.07692307692307693
houses	0.06666666666666667	0.058823529411764705
abandoning	0.1	0.125
warning	0.16666666666666666	0.08333333333333333
say	0.06666666666666667	0.14285714285714285
bed	0.2	0.02702702702702703
inventing	0.1	0.09090909090909091
instant	0.16666666666666666	0.05263157894736842
divorce	0.125	0.14285714285714285
failure	0.125	0.2
annoys	0.2	0.07142857142857142
muttering	0.07142857142857142	0.07692307692307693
source	0.07692307692307693	0.08333333333333333
gently	0.1111111111111111	0.25
isle	0.3333333333333333	0.5
beauty	0.14285714285714285	0.08333333333333333
sleeping	0.2	0.1
recognition	0.09090909090909091	0.14285714285714285
mosaic	0.1111111111111111	0.25
slip	0.1	0.023255813953488372
cooing	0.07692307692307693	0.5
apocalyptic	0.1111111111111111	0.3333333333333333
colts	0.14285714285714285	0.3333333333333333
whites	0.09090909090909091	0.038461538461538464
brazen	0.1111111111111111	0.125
sung	0.25	0.0625
mindless	0.3333333333333333	0.1111111111111111
missing	0.02631578947368421	0.06666666666666667
delightful	0.07142857142857142	0.5
strength	0.058823529411764705	0.045454545454545456
reflected	0.08333333333333333	0.06666666666666667
losing	0.15384615384615385	0.18181818181818182
faith	0.2	0.2
jump	0.045454545454545456	0.04
sandwich	0.041666666666666664	1.0
serge	0.25	1.0
credit	0.0625	0.07692307692307693
fear	0.125	0.09090909090909091
hit	0.09090909090909091	0.06666666666666667
secrets	0.16666666666666666	0.16666666666666666
setting	0.047619047619047616	0.02127659574468085
accomplish	0.18181818181818182	0.2
leash	0.14285714285714285	0.045454545454545456
following	0.3333333333333333	0.05714285714285714
daughter	0.06666666666666667	0.5
contradicted	0.125	0.14285714285714285
inspection	0.1	0.5
reservation	0.1	0.16666666666666666
primitive	0.1111111111111111	0.16666666666666666
verandah	0.0625	0.3333333333333333
basement	0.06666666666666667	0.5
topped	0.25	0.07692307692307693
vile	0.1	0.07142857142857142
banker	0.07692307692307693	1.0
kicked	0.05555555555555555	0.1
absolute	0.16666666666666666	0.125
rags	0.09090909090909091	0.017543859649122806
muzzle	0.1111111111111111	0.3333333333333333
hats	0.5	0.5
dejeuner	0.125	0.25
entranceway	0.045454545454545456	0.2
butt	0.125	0.02127659574468085
completely	0.3333333333333333	0.2857142857142857
cat	0.125	0.02631578947368421
boxes	0.14285714285714285	0.125
seeming	0.09090909090909091	0.16666666666666666
rattle	0.125	0.3333333333333333
adjustments	0.07142857142857142	0.09090909090909091
harassed	0.05555555555555555	0.0625
depraved	0.04	0.06666666666666667
volunteered	0.1111111111111111	0.3333333333333333
eggs	0.08333333333333333	0.2222222222222222
independent	0.1111111111111111	0.08333333333333333
drooped	0.0625	0.14285714285714285
off	0.16666666666666666	0.07692307692307693
shaving	0.08333333333333333	0.1111111111111111
bashful	0.04	0.5
sends	0.125	0.05
offer	0.0625	0.05555555555555555
exclaiming	0.2	0.1
director	0.2	0.125
hated	0.07142857142857142	0.14285714285714285
reborn	0.07692307692307693	0.3333333333333333
caravan	0.25	0.25
urged	0.09090909090909091	0.08333333333333333
history	0.14285714285714285	0.25
caretaker	0.09090909090909091	1.0
perceptible	0.3333333333333333	0.5
barefoot	0.06666666666666667	0.3333333333333333
dug	0.5	0.03571428571428571
chest	0.07692307692307693	0.14285714285714285
lotion	0.1111111111111111	0.5
outline	0.2	0.08333333333333333
premonitions	0.04	0.16666666666666666
dim	0.07142857142857142	0.05555555555555555
poured	0.06666666666666667	0.09090909090909091
abortion	0.14285714285714285	0.5
flatly	0.14285714285714285	0.3333333333333333
cow	0.125	0.3333333333333333
prefer	0.07407407407407407	0.4
alter	0.1	0.1111111111111111
class	0.1	0.05555555555555555
glare	0.1111111111111111	0.14285714285714285
surprised	0.04	0.3333333333333333
positively	0.07692307692307693	1.0
having	0.06666666666666667	0.03571428571428571
heavy	0.06666666666666667	0.024390243902439025
lover	0.1111111111111111	0.25
niggers	0.2	0.2857142857142857
logic	0.07692307692307693	0.3333333333333333
discussing	0.13333333333333333	0.3333333333333333
bachelor	0.14285714285714285	0.2
relish	0.14285714285714285	0.07142857142857142
phone	0.16666666666666666	0.09090909090909091
smuggle	0.08333333333333333	1.0
stupidly	0.045454545454545456	0.5
gummy	0.2	0.1111111111111111
imitating	0.125	0.25
