vocab	precision	recall
deals	0.16666666666666666	1.0
declared	0.06666666666666667	1.0
overcast	0.2	1.0
linger	0.1	1.0
mock	0.2	1.0
fired	0.05555555555555555	1.0
inched	0.125	1.0
ancient	0.1111111111111111	1.0
love	0.0625	1.0
aloud	0.2	1.0
classical	0.16666666666666666	1.0
inconvenient	0.1	1.0
continental	0.3333333333333333	1.0
synagogue	0.043478260869565216	1.0
glimpsed	0.043478260869565216	1.0
pounded	0.3333333333333333	1.0
worsted	0.0625	1.0
fatigue	0.25	1.0
memories	0.09090909090909091	1.0
sushi	0.125	1.0
ole	1.0	1.0
longed	0.043478260869565216	1.0
raising	0.125	1.0
control	0.0625	1.0
pass	0.07692307692307693	1.0
compresses	0.0625	1.0
interplay	0.041666666666666664	1.0
campagna	0.14285714285714285	1.0
ends	0.034482758620689655	1.0
back	0.03333333333333333	1.0
mule	0.2	1.0
forefinger	0.3333333333333333	1.0
buy	0.07692307692307693	1.0
coughed	0.16666666666666666	1.0
straightening	0.16666666666666666	1.0
stern	0.14285714285714285	1.0
fierce	0.3333333333333333	1.0
added	0.16666666666666666	1.0
source	0.14285714285714285	1.0
acknowledged	0.09090909090909091	1.0
searching	0.09090909090909091	1.0
strokes	0.3333333333333333	1.0
company	0.058823529411764705	1.0
display	0.2	1.0
hat	0.3333333333333333	1.0
reports	0.14285714285714285	1.0
opponents	0.2	1.0
perseveres	0.05263157894736842	1.0
flopped	0.14285714285714285	1.0
proudly	0.2	1.0
alive	0.09090909090909091	1.0
walk	0.037037037037037035	1.0
postures	0.125	1.0
invisible	0.16666666666666666	1.0
drew	0.1	1.0
hike	0.1111111111111111	1.0
torn	0.1111111111111111	1.0
hole	0.14285714285714285	1.0
abandoned	0.08333333333333333	1.0
cake	0.05263157894736842	1.0
swayed	0.08333333333333333	1.0
wore	0.1	1.0
whether	0.038461538461538464	1.0
lettering	0.14285714285714285	1.0
straight	0.03333333333333333	1.0
sky	0.2	1.0
sloppy	0.5	1.0
word	0.08333333333333333	1.0
persuaded	0.09090909090909091	1.0
crash	0.08333333333333333	1.0
lecturing	0.1111111111111111	1.0
ushered	0.125	1.0
scenes	0.1111111111111111	1.0
schoolboy	0.16666666666666666	1.0
yours	0.125	1.0
gnawing	0.09090909090909091	1.0
nocturnal	0.07692307692307693	1.0
trial	0.05555555555555555	1.0
boards	0.3333333333333333	1.0
loins	0.1	1.0
liberally	0.16666666666666666	1.0
problems	0.1111111111111111	1.0
preparations	0.1111111111111111	1.0
arriving	0.5	1.0
imitation	0.25	1.0
artillery	0.16666666666666666	1.0
excitedly	0.07142857142857142	1.0
unsaid	0.09090909090909091	1.0
reflected	0.16666666666666666	1.0
desperately	0.09090909090909091	1.0
repose	0.058823529411764705	1.0
clogging	0.047619047619047616	1.0
allow	0.05263157894736842	1.0
religion	0.14285714285714285	1.0
tactile	0.3333333333333333	1.0
genre	0.058823529411764705	1.0
neighbors	0.1	1.0
insane	0.058823529411764705	1.0
lying	0.06666666666666667	1.0
nothin	0.06666666666666667	1.0
formation	0.16666666666666666	1.0
check	0.07692307692307693	1.0
rigidly	0.0625	1.0
initiate	0.08333333333333333	1.0
choke	0.038461538461538464	1.0
windows	0.1	1.0
clamshell	0.25	1.0
untie	0.2	1.0
strength	0.05	1.0
organizing	0.14285714285714285	1.0
inescapable	0.08333333333333333	1.0
a	0.09090909090909091	1.0
applying	0.16666666666666666	1.0
suburban	0.07692307692307693	1.0
roofs	0.25	1.0
agree	0.041666666666666664	1.0
streets	0.037037037037037035	1.0
attend	0.047619047619047616	1.0
haunted	0.07142857142857142	1.0
plays	0.08333333333333333	1.0
intensely	0.06666666666666667	1.0
either	0.02040816326530612	1.0
vintage	0.06666666666666667	1.0
profound	0.1	1.0
lane	0.1111111111111111	1.0
under	0.037037037037037035	1.0
corn	0.05555555555555555	1.0
fucks	0.0625	1.0
sound	0.125	1.0
matron	0.16666666666666666	1.0
contemplate	0.14285714285714285	1.0
greet	0.05555555555555555	1.0
spared	0.09090909090909091	1.0
distinguished	0.1111111111111111	1.0
begin	0.1	1.0
weight	0.3333333333333333	1.0
pointing	0.05	1.0
persecuted	0.14285714285714285	1.0
thoughtfully	0.2	1.0
wet	0.125	1.0
aspirin	0.25	1.0
ideas	0.0625	1.0
avoided	0.07692307692307693	1.0
carried	0.1	1.0
government	0.045454545454545456	1.0
titled	0.3333333333333333	1.0
calm	0.25	1.0
appearance	0.1	1.0
premonition	0.2	1.0
worries	0.038461538461538464	1.0
side	0.03333333333333333	1.0
elsewhere	0.05	1.0
works	0.08333333333333333	1.0
biography	0.16666666666666666	1.0
miracles	0.1	1.0
packed	0.14285714285714285	1.0
huge	0.058823529411764705	1.0
slow	0.16666666666666666	1.0
