,precision_wn,recall_wn,precision_cn,recall_cn
em,0.2,0.2,0.4,0.043478260869565216
de,0.2,0.2,0.4,0.08
um,0.2,1.0,0.4,0.09090909090909091
do,0.2,0.03333333333333333,0.4,0.00796812749003984
``,0.2,1.0,0.2,1.0
&,1.0,1.0,1.0,1.0
web,0.3333333333333333,0.14285714285714285,0.6666666666666666,0.016129032258064516
links,0.6666666666666666,0.08333333333333333,0.6666666666666666,0.09090909090909091
link,0.3333333333333333,0.045454545454545456,1.0,0.020833333333333332
terminal,0.3333333333333333,0.125,0.3333333333333333,0.006802721088435374
port,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.006097560975609756
hospital,0.3333333333333333,0.5,0.3333333333333333,0.00819672131147541
ranging,1.0,0.037037037037037035,1.0,0.3333333333333333
winked,1.0,0.1111111111111111,1.0,0.5
camera,0.1,0.25,0.2,0.013157894736842105
windows,0.1,0.25,0.1,0.034482758620689655
notebook,0.1,0.5,0.1,0.045454545454545456
opera,0.1,0.3333333333333333,0.1,0.012658227848101266
flash,0.1,0.021739130434782608,0.2,0.00966183574879227
led,0.1,0.047619047619047616,0.1,0.0625
telephone,0.1,0.14285714285714285,0.1,0.006097560975609756
blackberry,0.1,0.5,0.1,0.03125
apple,0.1,0.3333333333333333,0.1,0.0035587188612099642
messenger,0.1,0.5,0.1,0.017543859649122806
",",0.16666666666666666,1.0,0.16666666666666666,1.0
normal,0.16666666666666666,0.2,0.16666666666666666,0.004878048780487805
tan,0.16666666666666666,0.14285714285714285,0.16666666666666666,0.013333333333333334
?,0.16666666666666666,1.0,0.16666666666666666,0.00035829451809387314
vos,0.16666666666666666,1.0,0.16666666666666666,0.5
no,0.16666666666666666,0.2,0.16666666666666666,0.016129032258064516
me,0.25,0.25,0.25,0.02702702702702703
tag,0.25,0.0625,0.25,0.010869565217391304
ask,0.25,0.08333333333333333,0.25,0.009708737864077669
favor,0.25,0.16666666666666666,0.25,0.02127659574468085
gay,0.07692307692307693,0.0625,0.07692307692307693,0.009009009009009009
face,0.15384615384615385,0.1,0.07692307692307693,0.002242152466367713
look,0.15384615384615385,0.06896551724137931,0.15384615384615385,0.012658227848101266
real,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.006172839506172839
like,0.07692307692307693,0.09090909090909091,0.23076923076923078,0.004329004329004329
hot,0.07692307692307693,0.16666666666666666,0.07692307692307693,0.004901960784313725
short,0.07692307692307693,0.041666666666666664,0.07692307692307693,0.003875968992248062
old,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0038314176245210726
cool,0.07692307692307693,0.1,0.15384615384615385,0.010869565217391304
crack,0.07692307692307693,0.02702702702702703,0.15384615384615385,0.015748031496062992
girls,0.07692307692307693,0.08333333333333333,0.07692307692307693,0.038461538461538464
boys,0.07692307692307693,0.25,0.07692307692307693,0.06666666666666667
crazy,0.07692307692307693,0.05555555555555555,0.15384615384615385,0.015873015873015872
continue,0.09090909090909091,0.05555555555555555,0.09090909090909091,0.013333333333333334
for,0.09090909090909091,1.0,0.36363636363636365,0.047058823529411764
ate,0.09090909090909091,0.07142857142857142,0.09090909090909091,0.043478260869565216
