vocab	precision	recall
animals	0.5	1.0
studious	0.0053475935828877	1.0
divorce	0.0053475935828877	1.0
Thynne	0.004081632653061225	1.0
Chandler	0.0053475935828877	1.0
Bologna	0.005319148936170213	1.0
humble	0.00847457627118644	1.0
gardened	0.0053475935828877	1.0
backs	0.004081632653061225	1.0
skulk	0.004081632653061225	1.0
defenses	0.00847457627118644	1.0
ferocity	0.005319148936170213	1.0
no-nonsense	0.04	1.0
regaled	0.00847457627118644	1.0
coffee	0.05555555555555555	1.0
Jesuits	0.005319148936170213	1.0
majority	0.005319148936170213	1.0
intertwined	0.004081632653061225	1.0
goddammit	0.00847457627118644	1.0
despite	0.03571428571428571	1.0
tribute	0.005319148936170213	1.0
salt	0.00847457627118644	1.0
college	0.034482758620689655	1.0
tough	0.0625	1.0
pounds'	0.004081632653061225	1.0
growing	0.0053475935828877	1.0
gabardine	0.01818181818181818	1.0
Methodist	0.00847457627118644	1.0
lower	0.08333333333333333	1.0
over-all	0.25	1.0
smooth	0.004081632653061225	1.0
northern	0.004081632653061225	1.0
compound	0.00847457627118644	1.0
surge	0.005319148936170213	1.0
ideal	0.015384615384615385	1.0
furor	0.004081632653061225	1.0
gear-sets	0.017857142857142856	1.0
populace	0.004081632653061225	1.0
Pittsburgh	0.004081632653061225	1.0
showed	0.0053475935828877	1.0
rubbed	0.004081632653061225	1.0
felt	0.0053475935828877	1.0
hem	1.0	1.0
twist	0.038461538461538464	1.0
bodice	0.004081632653061225	1.0
preach	0.00847457627118644	1.0
frostbite	0.004081632653061225	1.0
falls	0.01639344262295082	1.0
Turn	0.004081632653061225	1.0
git	0.005319148936170213	1.0
they'd	0.005319148936170213	1.0
blueberry	0.010526315789473684	1.0
Bill	0.009433962264150943	1.0
sweep	0.0053475935828877	1.0
wrath	0.004081632653061225	1.0
McClellan's	0.00847457627118644	1.0
spare	0.00847457627118644	1.0
milk	0.027777777777777776	1.0
chopped	0.0625	1.0
Acting	0.0053475935828877	1.0
going	0.004081632653061225	1.0
beefy	0.0053475935828877	1.0
condition	0.0136986301369863	1.0
decisions	0.005319148936170213	1.0
obeys	0.5	1.0
