vocab	precision	recall
milk	0.14285714285714285	0.3333333333333333
technician	0.14285714285714285	1.0
grip	0.14285714285714285	0.047619047619047616
besides	0.14285714285714285	0.16666666666666666
servants	0.0	0.0
Were	0.0	0.0
Americana	0.14285714285714285	1.0
immense	0.08333333333333333	0.25
gave	0.0	0.0
mile	0.08333333333333333	0.058823529411764705
likelihood	0.08333333333333333	0.5
boardinghouses	0.0	0.0
outrun	0.08333333333333333	1.0
fault	0.08333333333333333	0.08333333333333333
unconcerned	0.08333333333333333	1.0
bawling	0.08333333333333333	0.2
clambering	0.0	0.0
fading	0.07142857142857142	0.09090909090909091
twitched	0.0	0.0
lamb	0.07142857142857142	0.2
Loneliness	0.0	0.0
impressed	0.07142857142857142	0.09090909090909091
put	0.07142857142857142	0.058823529411764705
Both	0.0	0.0
houses	0.0	0.0
Purple	0.0	0.0
Alfred	0.07142857142857142	0.5
takes	0.0	0.0
divinely	0.16666666666666666	1.0
eighty-three	0.16666666666666666	0.3333333333333333
Cap	0.0	0.0
tarred	0.0	0.0
Free	0.0	0.0
compresses	0.0	0.0
arrears	0.2	1.0
enthusiastic	0.2	1.0
jubilantly	0.2	0.16666666666666666
entanglement	0.2	0.5
knotted	0.2	0.125
decent	0.1	0.07142857142857142
berated	0.0	0.0
kale	0.1	0.041666666666666664
responsibilities	0.0	0.0
imagine	0.1	0.1111111111111111
expenses	0.0	0.0
well	0.1	0.09090909090909091
register	0.1	0.125
biology	0.058823529411764705	0.3333333333333333
groin	0.058823529411764705	0.125
requisitioned	0.0	0.0
suitcases	0.0	0.0
sinewy	0.058823529411764705	0.1111111111111111
fists	0.0	0.0
rebelled	0.0	0.0
sins	0.0	0.0
poet	0.058823529411764705	1.0
possession	0.058823529411764705	0.1111111111111111
cheered	0.0	0.0
intertwined	0.0	0.0
explanations	0.0	0.0
nodding	0.058823529411764705	0.16666666666666666
Fiddles	0.0	0.0
Eliot	0.1111111111111111	0.2
Hearing	0.0	0.0
denting	0.0	0.0
perch	0.1111111111111111	0.14285714285714285
subterfuges	0.0	0.0
occupy	0.1111111111111111	0.07142857142857142
beating	0.1111111111111111	0.019230769230769232
guy	0.1111111111111111	0.0625
reached	0.0	0.0
Yet	0.0	0.0
spidery	0.07142857142857142	0.2
stalls	0.07142857142857142	0.05263157894736842
high-ceilinged	0.07142857142857142	1.0
beef	0.07142857142857142	0.09090909090909091
checks	0.0	0.0
humbly	0.07142857142857142	0.3333333333333333
let	0.07142857142857142	0.06666666666666667
glance	0.07142857142857142	0.2
baptized	0.07142857142857142	0.2
raising	0.07142857142857142	0.020833333333333332
alternately	0.07142857142857142	1.0
freezing	0.09090909090909091	0.1111111111111111
low-lying	0.09090909090909091	0.5
Yugoslavia	0.09090909090909091	0.2
emit	0.09090909090909091	0.125
thinks	0.0	0.0
settling	0.09090909090909091	0.03333333333333333
using	0.09090909090909091	0.08333333333333333
chinless	0.09090909090909091	1.0
So	0.0	0.0
laughed	0.0	0.0
Master	0.0	0.0
Presbyterian	0.14285714285714285	1.0
bubble	0.14285714285714285	0.1
challenge	0.14285714285714285	0.25
lobster-backed	0.14285714285714285	0.5
Refugees	0.0	0.0
recorded	0.14285714285714285	0.07692307692307693
touched	0.2	0.030303030303030304
father	0.2	0.047619047619047616
world	0.2	0.038461538461538464
traps	0.0	0.0
remotest	0.0	0.0
prayer	0.07692307692307693	0.14285714285714285
popping	0.07692307692307693	0.05555555555555555
tan	0.07692307692307693	0.14285714285714285
Neptune	0.07692307692307693	1.0
statement	0.07692307692307693	0.125
rifles	0.0	0.0
pan	0.07692307692307693	0.1111111111111111
deep-seated	0.07692307692307693	0.2
remarkable	0.07692307692307693	0.3333333333333333
wig	0.07692307692307693	0.5
engaged	0.07692307692307693	0.03571428571428571
debilitating	0.07692307692307693	0.25
drafting	0.07692307692307693	0.1
grace	0.07692307692307693	0.05555555555555555
Huge	0.0	0.0
typhoid	0.07692307692307693	0.3333333333333333
attach	0.07692307692307693	0.125
coughed	0.0	0.0
buried	0.07692307692307693	0.07142857142857142
smoothing	0.0	0.0
betrays	0.0	0.0
deliberate	0.07692307692307693	0.125
washing	0.07692307692307693	0.07142857142857142
Victory	0.0	0.0
declined	0.0	0.0
four	0.06666666666666667	0.07142857142857142
Within	0.0	0.0
Odessa	0.06666666666666667	0.5
icebox	0.06666666666666667	0.5
considerable	0.06666666666666667	1.0
smoke	0.06666666666666667	0.05263157894736842
shanty	0.06666666666666667	0.125
hurling	0.06666666666666667	0.14285714285714285
near	0.06666666666666667	0.047619047619047616
point-blank	0.06666666666666667	0.1111111111111111
attentively	0.06666666666666667	1.0
clerical	0.125	1.0
ran	0.0	0.0
limit	0.125	0.047619047619047616
yards	0.0	0.0
tug	0.125	0.09090909090909091
afterward	0.08333333333333333	0.16666666666666666
sustained	0.08333333333333333	0.05263157894736842
Anthony	0.08333333333333333	0.1111111111111111
motives	0.0	0.0
breed	0.08333333333333333	0.14285714285714285
acres	0.08333333333333333	0.1
