vocab	precision	recall
stricken	0.07692307692307693	0.2
overcoat	0.07692307692307693	0.25
protectively	0.07692307692307693	1.0
nestled	0.07692307692307693	0.125
sprawled	0.07692307692307693	0.3333333333333333
drunken	0.07692307692307693	0.25
meticulously	0.07692307692307693	1.0
friends	0.07692307692307693	0.09090909090909091
disagreed	0.07692307692307693	0.14285714285714285
typhoid	0.07692307692307693	0.3333333333333333
observe	0.07692307692307693	0.05
ice	0.07692307692307693	0.045454545454545456
No	0.07692307692307693	0.2
Deacon	0.1111111111111111	0.3333333333333333
aghast	0.1111111111111111	0.25
sorry	0.1111111111111111	0.041666666666666664
Fine	0.1111111111111111	0.0625
bunk	0.1111111111111111	0.037037037037037035
utmost	0.1111111111111111	0.1
lazy	0.1111111111111111	0.16666666666666666
weeping	0.1	0.07692307692307693
London	0.1	0.16666666666666666
excitement	0.1	0.1
vitals	0.1	0.5
pushed	0.1	0.058823529411764705
forerunner	0.1	0.16666666666666666
armored	0.1	0.2
hugging	0.1	0.07692307692307693
mania	0.1	0.25
goofed	0.08333333333333333	0.16666666666666666
muffled	0.08333333333333333	0.07692307692307693
contents	0.08333333333333333	0.08333333333333333
wrap	0.08333333333333333	0.09090909090909091
Bowman	0.08333333333333333	0.3333333333333333
submitting	0.08333333333333333	0.05555555555555555
blushing	0.08333333333333333	0.14285714285714285
flour	0.08333333333333333	1.0
pig	0.08333333333333333	0.05555555555555555
reclaimed	0.08333333333333333	0.08333333333333333
serenaded	0.08333333333333333	0.5
realize	0.1	0.05555555555555555
climbing	0.1	0.125
Al	0.1	0.125
diagrams	0.1	0.3333333333333333
Outside	0.1	0.07692307692307693
quietly	0.1	0.25
quirking	0.1	0.5
vouching	0.1	0.3333333333333333
preached	0.1	0.25
romantic	0.3333333333333333	0.14285714285714285
novel	0.3333333333333333	0.25
Indies	0.3333333333333333	0.5
hypocrite	0.07692307692307693	0.16666666666666666
sinners	0.07692307692307693	0.3333333333333333
bitter	0.07692307692307693	0.058823529411764705
bursting	0.07692307692307693	0.09090909090909091
Frankly	0.07692307692307693	0.25
place	0.07692307692307693	0.023255813953488372
bearded	0.07692307692307693	0.16666666666666666
cupboards	0.07692307692307693	0.3333333333333333
cha-chas	0.07692307692307693	0.3333333333333333
settle	0.07692307692307693	0.03571428571428571
reprobate	0.07692307692307693	0.1111111111111111
isle	0.07692307692307693	0.5
drawing	0.07692307692307693	0.020833333333333332
7	0.1	0.125
wear	0.1	0.03225806451612903
self-consciousness	0.1	0.3333333333333333
fees	0.1	0.25
juicy	0.1	0.07692307692307693
beings	0.1	0.058823529411764705
features	0.1	0.1
fussily	0.1	1.0
brackish	0.1	0.5
trust	0.1	0.05263157894736842
harem	0.1111111111111111	0.25
Tiber	0.1111111111111111	0.5
civilian	0.1111111111111111	1.0
substantial	0.1111111111111111	0.1
sad	0.1111111111111111	0.16666666666666666
swarmed	0.1111111111111111	0.16666666666666666
wattles	0.1111111111111111	0.3333333333333333
trumps	0.1111111111111111	0.08333333333333333
Rivers	0.25	0.5
talent	0.25	0.25
snail	0.25	0.5
uttered	0.25	0.06666666666666667
guiding	0.125	0.047619047619047616
improvise	0.125	0.2
were	0.125	0.07692307692307693
uniqueness	0.125	0.5
learn	0.125	0.043478260869565216
own	0.125	0.25
willing	0.125	0.14285714285714285
straightened	0.125	0.1
Having	0.0625	0.03571428571428571
exultation	0.0625	0.2
heard	0.0625	0.07692307692307693
time	0.0625	0.1111111111111111
