,precision_wn,recall_wn,precision_cn,recall_cn,missing_from_cn,missing_from_wn
fllwr,1.0,1.0,1.0,1.0,1,1
singkat,1.0,1.0,1.0,1.0,1,1
fundo,0.5,1.0,0.5,1.0,1,1
cheio,0.5,1.0,0.5,1.0,1,1
putih,1.0,1.0,1.0,1.0,1,1
crushn,1.0,1.0,1.0,1.0,1,1
sala,1.0,1.0,1.0,1.0,1,1
heen,1.0,1.0,1.0,1.0,1,1
sophia,1.0,1.0,1.0,1.0,1,1
belair,1.0,1.0,1.0,1.0,1,1
ultra,1.0,0.3333333333333333,1.0,1.0,1,0
cute,0.5,0.3333333333333333,0.5,1.0,1,0
xoxo,0.5,1.0,0.5,1.0,1,1
text,0.5,0.16666666666666666,0.5,1.0,1,0
message,0.5,0.25,0.5,1.0,1,0
warna,1.0,1.0,1.0,1.0,1,1
kini,1.0,1.0,1.0,1.0,1,1
respondin,1.0,1.0,1.0,1.0,1,1
sara,1.0,1.0,1.0,1.0,1,1
voice,1.0,0.07142857142857142,1.0,1.0,1,0
tata,0.5,1.0,0.5,1.0,1,1
laura,0.5,1.0,0.5,1.0,1,1
kilos,1.0,0.25,1.0,1.0,1,0
kimbella,1.0,1.0,1.0,1.0,1,1
agua,1.0,0.3333333333333333,1.0,1.0,1,0
carlos,1.0,0.08333333333333333,1.0,1.0,1,0
andrea,1.0,1.0,1.0,1.0,1,1
fim,1.0,1.0,1.0,1.0,1,1
ariel,1.0,1.0,1.0,1.0,1,1
quel,1.0,1.0,1.0,1.0,1,1
suci,1.0,1.0,1.0,1.0,1,1
prive,0.5,1.0,0.5,1.0,1,1
file,0.5,0.1,0.5,1.0,1,0
abducted,1.0,0.2,1.0,1.0,1,0
saida,1.0,0.25,1.0,1.0,1,0
brazilian,1.0,0.5,1.0,1.0,1,0
al,1.0,0.1111111111111111,1.0,1.0,1,0
luis,1.0,1.0,1.0,1.0,1,1
nam,0.5,1.0,0.5,1.0,1,1
qua,0.5,1.0,0.5,1.0,1,1
kardashians,1.0,1.0,1.0,1.0,1,1
lightbright,1.0,1.0,1.0,1.0,1,1
wallet,1.0,0.25,1.0,1.0,1,0
cs,1.0,0.037037037037037035,1.0,1.0,1,0
handbags,1.0,0.2,1.0,1.0,1,0
fredo,1.0,1.0,1.0,1.0,1,1
greyson,1.0,1.0,1.0,1.0,1,1
perra,1.0,1.0,1.0,1.0,1,1
unnie,1.0,1.0,1.0,1.0,1,1
vende,1.0,1.0,1.0,1.0,1,1
cameras,1.0,0.2,1.0,1.0,1,0
domingo,1.0,0.3333333333333333,1.0,1.0,1,0
espera,1.0,1.0,1.0,1.0,1,1
kendal,1.0,0.3333333333333333,1.0,1.0,1,0
aggravatin,1.0,1.0,1.0,1.0,1,1
diedd,1.0,1.0,1.0,1.0,1,1
bana,1.0,1.0,1.0,1.0,1,1
fox,1.0,0.05,1.0,1.0,1,0
lavato,1.0,1.0,1.0,1.0,1,1
padre,1.0,0.16666666666666666,1.0,1.0,1,0
klear,1.0,1.0,1.0,1.0,1,1
nun,1.0,0.3333333333333333,1.0,1.0,1,0
charlie,1.0,1.0,1.0,1.0,1,1
signal,0.5,0.1111111111111111,0.5,1.0,1,0
gsm,0.5,1.0,0.5,1.0,1,1
obrian,1.0,1.0,1.0,1.0,1,1
mpr,0.5,1.0,0.5,1.0,1,1
maryam,0.5,1.0,0.5,1.0,1,1
gray,1.0,0.05,1.0,1.0,1,0
